,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing_raw[23, 1]",-0.116,0.999,-2.049,1.703,0.016,0.028,4050.221,1161.056,1.004
"eta_inducing_raw[24, 0]",-0.002,0.966,-1.798,1.783,0.019,0.022,2605.011,1288.243,1.001
"eta_inducing_raw[24, 1]",-0.09,0.975,-1.922,1.662,0.014,0.025,4654.805,1687.917,1.003
"eta_inducing_raw[25, 0]",-0.06,0.964,-1.811,1.726,0.015,0.025,4220.72,1474.179,1.001
"eta_inducing_raw[25, 1]",-0.104,1.001,-2.097,1.677,0.015,0.029,4251.871,1227.838,1.002
"eta_inducing_raw[26, 0]",-0.162,0.936,-1.907,1.518,0.016,0.022,3553.217,1455.43,1.002
"eta_inducing_raw[26, 1]",-0.107,1.031,-2.017,1.797,0.016,0.025,3931.2,1372.314,1.002
"eta_inducing_raw[27, 0]",-0.163,0.981,-2.057,1.596,0.015,0.024,4286.615,1581.956,1.003
"eta_inducing_raw[27, 1]",-0.107,0.95,-1.728,1.737,0.016,0.025,3673.201,1088.343,1.001
"eta_inducing_raw[28, 0]",-0.186,0.888,-1.888,1.392,0.013,0.021,4320.827,1283.764,1.003
"eta_inducing_raw[28, 1]",-0.073,0.941,-1.695,1.802,0.016,0.026,3353.935,1307.275,1.001
"eta_inducing_raw[29, 0]",-0.156,0.941,-2.008,1.549,0.015,0.023,3985.376,1453.242,1.005
"eta_inducing_raw[29, 1]",-0.096,0.979,-1.939,1.752,0.015,0.023,4100.472,1536.036,1.0
"eta_inducing_raw[30, 0]",-0.128,0.935,-1.954,1.564,0.016,0.024,3390.723,1444.609,1.003
"eta_inducing_raw[30, 1]",-0.08,1.004,-1.776,1.878,0.017,0.024,3291.799,1391.203,1.002
"eta_inducing_raw[31, 0]",-0.065,0.894,-1.83,1.507,0.016,0.02,3223.275,1615.76,1.001
"eta_inducing_raw[31, 1]",-0.062,0.979,-1.829,1.764,0.016,0.025,3953.722,1507.497,1.006
"eta_inducing_raw[32, 0]",0.063,0.963,-1.738,1.806,0.015,0.026,3959.526,1372.503,1.003
"eta_inducing_raw[32, 1]",-0.085,0.989,-1.863,1.918,0.016,0.033,4059.182,983.013,1.006
"eta_inducing_raw[33, 0]",0.147,0.918,-1.621,1.796,0.016,0.022,3321.881,1221.072,1.0
"eta_inducing_raw[33, 1]",-0.054,0.996,-1.859,1.766,0.014,0.025,4854.294,1499.298,1.002
"eta_inducing_raw[34, 0]",0.221,0.96,-1.616,1.909,0.016,0.024,3731.68,1453.745,1.002
"eta_inducing_raw[34, 1]",-0.083,0.996,-1.866,1.871,0.017,0.028,3430.098,1368.91,1.004
"eta_inducing_raw[35, 0]",0.32,0.918,-1.521,1.941,0.014,0.025,4299.281,1286.727,1.0
"eta_inducing_raw[35, 1]",-0.048,1.008,-1.921,1.835,0.016,0.024,3844.432,1536.787,1.001
"eta_inducing_raw[36, 0]",0.344,0.925,-1.536,1.996,0.014,0.024,4594.354,1371.625,1.005
"eta_inducing_raw[36, 1]",-0.069,0.996,-1.903,1.786,0.015,0.028,4448.021,1568.361,1.002
"eta_inducing_raw[37, 0]",0.381,0.954,-1.362,2.114,0.015,0.021,3940.272,1734.739,1.006
"eta_inducing_raw[37, 1]",-0.029,0.978,-1.941,1.774,0.015,0.026,4198.295,1436.663,1.003
"eta_inducing_raw[38, 0]",0.38,0.958,-1.476,2.131,0.016,0.025,3816.59,1405.84,1.002
"eta_inducing_raw[38, 1]",-0.009,1.051,-1.902,1.983,0.016,0.028,4224.078,1259.901,1.002
"eta_inducing_raw[39, 0]",0.363,0.937,-1.569,1.963,0.014,0.023,4404.73,1342.365,1.003
"eta_inducing_raw[39, 1]",-0.042,1.009,-1.896,1.82,0.016,0.03,4118.056,1154.491,1.001
"eta_inducing_raw[40, 0]",0.334,0.954,-1.417,2.089,0.014,0.022,4542.725,1559.72,1.002
"eta_inducing_raw[40, 1]",-0.021,0.988,-1.962,1.701,0.015,0.023,4390.625,1381.03,1.005
"eta_inducing_raw[41, 0]",0.272,0.946,-1.488,1.96,0.013,0.021,4813.801,1514.355,1.001
"eta_inducing_raw[41, 1]",-0.025,0.988,-1.868,1.81,0.016,0.024,3820.631,1510.106,1.007
"eta_inducing_raw[42, 0]",0.244,0.966,-1.502,2.139,0.016,0.03,3622.075,984.905,0.999
"eta_inducing_raw[42, 1]",-0.02,0.976,-1.83,1.855,0.014,0.026,4610.135,1282.961,1.0
"eta_inducing_raw[43, 0]",0.181,0.954,-1.63,1.928,0.015,0.023,4167.318,1488.48,1.0
"eta_inducing_raw[43, 1]",-0.021,1.005,-1.992,1.776,0.016,0.028,4029.963,1299.206,1.005
"eta_inducing_raw[44, 0]",0.168,0.983,-1.685,2.004,0.015,0.028,4470.475,1444.337,1.0
"eta_inducing_raw[44, 1]",-0.051,0.981,-2.058,1.631,0.015,0.024,4334.703,1300.772,1.005
"eta_inducing_raw[45, 0]",0.154,0.966,-1.644,1.917,0.015,0.025,4373.807,1486.756,1.001
"eta_inducing_raw[45, 1]",-0.018,1.004,-1.919,1.818,0.015,0.023,4499.576,1389.48,0.999
"eta_inducing_raw[46, 0]",0.116,0.944,-1.61,1.847,0.015,0.022,3907.833,1524.918,1.008
"eta_inducing_raw[46, 1]",0.022,0.983,-1.705,1.905,0.014,0.028,5234.596,1384.458,1.008
"eta_inducing_raw[47, 0]",0.077,1.022,-1.948,1.863,0.015,0.027,4732.816,1447.211,1.009
"eta_inducing_raw[47, 1]",-0.006,1.001,-1.895,1.903,0.017,0.027,3547.153,1212.337,1.005
"eta_inducing_raw[48, 0]",0.073,1.044,-1.873,2.149,0.014,0.036,5296.161,1035.359,1.005
"eta_inducing_raw[48, 1]",-0.015,1.006,-2.04,1.784,0.015,0.027,4304.371,1359.22,1.001
"eta_inducing_raw[49, 0]",0.024,0.973,-1.797,1.845,0.016,0.026,3582.866,1087.807,1.0
"eta_inducing_raw[49, 1]",-0.013,1.026,-2.029,1.792,0.016,0.029,4293.243,1373.016,1.0
lag_scaled,0.003,0.003,0.0,0.009,0.0,0.0,3094.159,1251.91,1.001
"eta_inducing[0, 0]",-1.684,0.475,-2.633,-0.871,0.01,0.015,2202.891,1461.558,1.0
"eta_inducing[0, 1]",-1.328,0.491,-2.237,-0.515,0.014,0.01,1160.095,1201.255,1.002
"eta_inducing[1, 0]",-0.598,0.75,-2.004,0.797,0.017,0.018,2083.274,1314.996,1.0
"eta_inducing[1, 1]",-0.051,0.669,-1.198,1.326,0.013,0.018,2943.126,1319.042,1.001
"eta_inducing[2, 0]",-0.66,0.943,-2.4,1.075,0.015,0.023,3854.426,1705.802,1.0
"eta_inducing[2, 1]",-0.011,0.848,-1.445,1.764,0.013,0.021,4000.382,1585.46,1.009
"eta_inducing[3, 0]",-0.791,0.945,-2.67,0.958,0.016,0.023,3264.407,1515.824,1.003
"eta_inducing[3, 1]",-0.086,0.924,-1.888,1.619,0.015,0.024,4020.205,1496.43,1.002
"eta_inducing[4, 0]",-0.652,0.922,-2.411,1.028,0.016,0.023,3515.708,1452.834,1.005
"eta_inducing[4, 1]",-0.09,1.016,-2.176,1.688,0.014,0.03,5336.418,1222.201,1.002
"eta_inducing[5, 0]",-0.525,0.949,-2.156,1.383,0.016,0.022,3473.097,1668.743,1.006
"eta_inducing[5, 1]",-0.138,0.963,-1.97,1.738,0.015,0.027,4372.728,1417.162,1.005
