,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.96,0.212,0.603,1.364,0.006,0.005,1233.509,1594.311,1.002
rho_weight,0.192,0.031,0.135,0.251,0.001,0.001,1109.382,1198.098,1.001
alpha_workout,0.151,0.073,0.054,0.287,0.003,0.003,778.647,739.508,1.01
rho_workout,1.235,0.716,0.308,2.544,0.032,0.04,540.049,811.74,1.011
beta,0.102,0.959,-1.636,1.906,0.018,0.023,2716.6,1251.405,1.001
sigma_weight,0.377,0.026,0.331,0.425,0.001,0.001,1828.338,1323.609,1.005
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,2163.022,925.085,1.002
nu_weight,25.437,14.011,4.846,50.701,0.326,0.417,2074.67,1591.915,1.001
nu_workout,1.425,0.218,1.015,1.81,0.005,0.006,1308.014,668.156,1.004
"eta_inducing_raw[0, 0]",-1.666,0.488,-2.588,-0.784,0.012,0.013,1684.518,1323.277,1.001
"eta_inducing_raw[0, 1]",-1.175,0.511,-2.118,-0.365,0.017,0.011,784.152,466.664,1.005
"eta_inducing_raw[1, 0]",-0.53,0.726,-1.874,0.825,0.017,0.019,1871.003,1254.855,1.001
"eta_inducing_raw[1, 1]",-0.134,0.761,-1.55,1.253,0.017,0.02,1991.456,1397.792,1.002
"eta_inducing_raw[2, 0]",-0.652,0.966,-2.39,1.215,0.021,0.025,2093.899,1203.752,1.001
"eta_inducing_raw[2, 1]",-0.085,0.902,-1.8,1.532,0.02,0.022,2145.903,1401.896,1.004
"eta_inducing_raw[3, 0]",-0.73,0.945,-2.509,0.92,0.018,0.026,2666.769,1468.791,1.0
"eta_inducing_raw[3, 1]",-0.112,0.978,-1.849,1.843,0.022,0.026,2035.672,1158.525,1.002
"eta_inducing_raw[4, 0]",-0.655,0.944,-2.539,0.988,0.019,0.027,2422.355,1092.104,1.001
"eta_inducing_raw[4, 1]",-0.069,1.014,-2.105,1.685,0.021,0.024,2334.271,1409.307,1.006
"eta_inducing_raw[5, 0]",-0.522,0.963,-2.262,1.364,0.018,0.024,2857.751,1356.21,1.005
"eta_inducing_raw[5, 1]",-0.088,0.999,-1.896,1.906,0.018,0.027,3093.505,1292.843,1.002
"eta_inducing_raw[6, 0]",-0.416,0.942,-2.19,1.309,0.02,0.022,2319.656,1381.051,1.001
"eta_inducing_raw[6, 1]",-0.109,0.938,-1.864,1.679,0.016,0.023,3362.265,1596.204,1.003
"eta_inducing_raw[7, 0]",-0.27,0.963,-2.041,1.57,0.024,0.029,1631.615,470.48,1.007
"eta_inducing_raw[7, 1]",-0.083,0.963,-1.909,1.599,0.022,0.025,1903.096,1289.725,1.005
"eta_inducing_raw[8, 0]",-0.1,0.989,-2.029,1.69,0.018,0.024,3038.445,1269.251,1.0
"eta_inducing_raw[8, 1]",-0.142,0.94,-2.034,1.468,0.016,0.022,3571.985,1636.053,1.001
"eta_inducing_raw[9, 0]",0.04,0.95,-1.804,1.812,0.018,0.028,2802.054,937.288,1.002
"eta_inducing_raw[9, 1]",-0.126,0.96,-1.948,1.704,0.017,0.028,3086.469,1222.963,1.001
"eta_inducing_raw[10, 0]",0.175,0.913,-1.556,1.91,0.019,0.024,2338.792,1016.376,1.003
"eta_inducing_raw[10, 1]",-0.151,0.998,-2.021,1.779,0.02,0.029,2473.185,1147.527,1.008
"eta_inducing_raw[11, 0]",0.353,0.91,-1.298,2.003,0.021,0.019,1906.663,1431.684,1.001
"eta_inducing_raw[11, 1]",-0.149,0.983,-1.902,1.703,0.018,0.024,2866.212,1482.509,0.999
"eta_inducing_raw[12, 0]",0.432,0.971,-1.501,2.145,0.017,0.024,3244.151,1442.22,1.001
"eta_inducing_raw[12, 1]",-0.177,0.998,-2.001,1.852,0.018,0.028,2981.595,1153.891,1.002
