,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.968,0.212,0.572,1.32,0.009,0.005,569.203,1264.865,1.014
rho_weight,0.192,0.031,0.133,0.248,0.001,0.001,528.774,1000.632,1.015
alpha_workout,0.16,0.087,0.065,0.396,0.017,0.019,55.93,14.787,1.054
rho_workout,1.248,0.742,0.394,2.665,0.035,0.043,468.256,688.696,1.008
beta,-0.167,0.947,-1.785,1.738,0.023,0.026,1874.867,1232.095,1.001
sigma_weight,0.38,0.027,0.325,0.428,0.001,0.001,568.448,1486.082,1.007
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,1598.478,1159.237,1.001
nu_weight,26.324,15.245,5.593,53.779,1.001,0.545,267.515,1173.818,1.02
nu_workout,1.412,0.211,1.028,1.778,0.007,0.005,868.413,677.943,1.005
"eta_inducing_raw[0, 0]",-1.673,0.491,-2.668,-0.8,0.017,0.012,799.796,1200.163,1.007
"eta_inducing_raw[0, 1]",-1.154,0.531,-2.101,-0.351,0.046,0.016,66.387,23.786,1.047
"eta_inducing_raw[1, 0]",-0.564,0.714,-1.806,0.836,0.019,0.018,1367.283,1338.093,1.019
"eta_inducing_raw[1, 1]",-0.162,0.75,-1.491,1.328,0.02,0.019,1431.619,1202.1,1.006
"eta_inducing_raw[2, 0]",-0.597,0.973,-2.378,1.172,0.046,0.027,507.763,943.681,1.011
"eta_inducing_raw[2, 1]",-0.084,0.846,-1.662,1.542,0.02,0.021,1864.221,1491.829,1.004
"eta_inducing_raw[3, 0]",-0.801,0.937,-2.367,1.06,0.04,0.021,611.996,1061.436,1.008
"eta_inducing_raw[3, 1]",-0.031,0.975,-1.768,1.738,0.086,0.027,146.875,935.868,1.024
"eta_inducing_raw[4, 0]",-0.621,0.935,-2.342,1.183,0.025,0.024,1391.239,1448.743,1.003
"eta_inducing_raw[4, 1]",-0.106,0.918,-1.776,1.648,0.022,0.021,1773.928,928.678,1.006
"eta_inducing_raw[5, 0]",-0.476,1.004,-2.41,1.32,0.06,0.023,293.312,1405.897,1.016
"eta_inducing_raw[5, 1]",-0.019,0.961,-1.947,1.695,0.03,0.024,992.835,1260.218,1.005
