,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.963,0.221,0.59,1.376,0.007,0.005,1065.603,1225.093,1.002
rho_weight,0.192,0.032,0.132,0.253,0.001,0.001,1056.389,1164.95,1.001
alpha_workout,0.159,0.086,0.051,0.317,0.004,0.007,622.829,614.522,1.009
rho_workout,1.217,0.651,0.358,2.462,0.029,0.032,517.526,700.426,1.003
beta,-0.127,0.952,-1.892,1.646,0.017,0.023,2989.18,1591.042,1.003
sigma_weight,0.378,0.025,0.333,0.425,0.001,0.001,2029.433,1542.432,1.002
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,1461.025,843.831,1.0
nu_weight,25.29,13.844,4.883,49.739,0.282,0.361,2400.121,1442.563,1.0
nu_workout,1.432,0.214,1.022,1.81,0.005,0.006,1422.685,599.389,1.003
"eta_inducing_raw[0, 0]",-1.69,0.501,-2.611,-0.755,0.012,0.012,1645.074,1436.151,1.001
"eta_inducing_raw[0, 1]",-1.144,0.502,-2.106,-0.338,0.019,0.012,618.647,575.654,1.01
"eta_inducing_raw[1, 0]",-0.566,0.712,-1.864,0.748,0.016,0.015,1920.998,1448.298,1.0
"eta_inducing_raw[1, 1]",-0.145,0.733,-1.392,1.361,0.017,0.017,1877.568,1527.012,1.003
"eta_inducing_raw[2, 0]",-0.649,0.955,-2.555,1.052,0.021,0.032,2132.215,1015.989,1.012
"eta_inducing_raw[2, 1]",-0.083,0.873,-1.902,1.356,0.02,0.019,1985.912,1647.618,1.0
"eta_inducing_raw[3, 0]",-0.758,0.897,-2.529,0.833,0.017,0.026,2656.847,1365.663,1.003
"eta_inducing_raw[3, 1]",-0.042,0.914,-1.914,1.538,0.017,0.02,2972.26,1269.874,1.001
"eta_inducing_raw[4, 0]",-0.648,0.918,-2.285,1.189,0.018,0.021,2638.948,1643.079,0.999
"eta_inducing_raw[4, 1]",-0.056,0.998,-2.023,1.802,0.017,0.027,3332.611,1124.57,1.002
"eta_inducing_raw[5, 0]",-0.543,0.915,-2.302,1.028,0.018,0.02,2618.474,1562.801,1.0
"eta_inducing_raw[5, 1]",-0.086,0.994,-1.707,2.04,0.018,0.025,3175.187,1372.23,1.001
"eta_inducing_raw[6, 0]",-0.414,0.948,-2.348,1.226,0.018,0.022,2835.892,1540.264,1.0
"eta_inducing_raw[6, 1]",-0.106,0.979,-2.024,1.682,0.018,0.025,2949.679,1399.523,1.003
