,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_weight[2, 42]",0.001,0.003,0.0,0.004,0.0,0.0,762.693,1178.632,1.004
"K_uu_weight[2, 43]",0.001,0.002,0.0,0.003,0.0,0.0,764.271,1178.632,1.004
"K_uu_weight[2, 44]",0.001,0.002,0.0,0.002,0.0,0.0,765.604,1178.632,1.004
"K_uu_weight[2, 45]",0.0,0.002,0.0,0.002,0.0,0.0,764.619,1178.632,1.004
"K_uu_weight[2, 46]",0.0,0.001,0.0,0.001,0.0,0.0,765.152,1178.632,1.004
"K_uu_weight[2, 47]",0.0,0.001,0.0,0.001,0.0,0.0,765.793,1208.227,1.004
"K_uu_weight[2, 48]",0.0,0.001,0.0,0.001,0.0,0.0,765.839,1178.203,1.004
"K_uu_weight[2, 49]",0.0,0.001,0.0,0.0,0.0,0.0,765.563,1178.203,1.004
"K_uu_weight[3, 0]",0.929,0.429,0.326,1.764,0.013,0.012,1089.049,1426.481,1.004
"K_uu_weight[3, 1]",0.957,0.437,0.356,1.82,0.013,0.012,1118.96,1462.651,1.004
"K_uu_weight[3, 2]",0.974,0.443,0.362,1.84,0.013,0.012,1143.361,1432.108,1.004
"K_uu_weight[3, 3]",0.98,0.445,0.366,1.85,0.013,0.012,1152.219,1432.108,1.004
"K_uu_weight[3, 4]",0.974,0.443,0.362,1.84,0.013,0.012,1143.361,1432.108,1.004
"K_uu_weight[3, 5]",0.957,0.437,0.356,1.82,0.013,0.012,1118.96,1462.651,1.004
"K_uu_weight[3, 6]",0.929,0.429,0.326,1.764,0.013,0.012,1089.049,1426.481,1.004
"K_uu_weight[3, 7]",0.892,0.418,0.303,1.707,0.012,0.012,1055.588,1471.528,1.004
"K_uu_weight[3, 8]",0.847,0.404,0.25,1.602,0.012,0.012,1025.262,1370.405,1.003
"K_uu_weight[3, 9]",0.796,0.389,0.232,1.536,0.012,0.011,981.483,1449.552,1.003
"K_uu_weight[3, 10]",0.739,0.372,0.193,1.43,0.012,0.011,940.402,1422.997,1.003
"K_uu_weight[3, 11]",0.68,0.354,0.165,1.343,0.011,0.011,898.294,1342.505,1.003
"K_uu_weight[3, 12]",0.619,0.336,0.126,1.234,0.011,0.011,859.415,1382.315,1.003
"K_uu_weight[3, 13]",0.558,0.316,0.103,1.139,0.01,0.01,834.201,1327.789,1.004
"K_uu_weight[3, 14]",0.498,0.296,0.071,1.039,0.01,0.01,810.473,1256.548,1.004
"K_uu_weight[3, 15]",0.441,0.275,0.057,0.959,0.009,0.009,790.907,1273.253,1.004
"K_uu_weight[3, 16]",0.386,0.254,0.038,0.866,0.008,0.009,778.417,1273.612,1.004
"K_uu_weight[3, 17]",0.336,0.233,0.021,0.772,0.008,0.008,768.837,1239.807,1.004
"K_uu_weight[3, 18]",0.29,0.213,0.014,0.683,0.007,0.008,760.432,1223.353,1.004
"K_uu_weight[3, 19]",0.248,0.192,0.004,0.599,0.006,0.007,753.332,1239.952,1.004
"K_uu_weight[3, 20]",0.211,0.173,0.002,0.526,0.006,0.007,748.319,1224.228,1.004
"K_uu_weight[3, 21]",0.178,0.154,0.0,0.459,0.005,0.006,746.893,1179.814,1.004
"K_uu_weight[3, 22]",0.149,0.137,0.0,0.4,0.004,0.006,747.114,1139.069,1.004
"K_uu_weight[3, 23]",0.124,0.12,0.0,0.343,0.004,0.005,746.599,1113.293,1.004
"K_uu_weight[3, 24]",0.102,0.105,0.0,0.294,0.003,0.005,745.716,1113.475,1.004
"K_uu_weight[3, 25]",0.084,0.091,0.0,0.25,0.003,0.005,746.834,1063.242,1.004
"K_uu_weight[3, 26]",0.069,0.079,0.0,0.21,0.003,0.004,748.301,1050.71,1.004
"K_uu_weight[3, 27]",0.056,0.068,0.0,0.175,0.002,0.004,749.402,1028.178,1.004
"K_uu_weight[3, 28]",0.045,0.058,0.0,0.146,0.002,0.003,750.856,1039.101,1.004
"K_uu_weight[3, 29]",0.036,0.049,0.0,0.121,0.002,0.003,752.958,1139.26,1.004
"K_uu_weight[3, 30]",0.029,0.041,0.0,0.1,0.001,0.003,754.514,1139.26,1.004
"K_uu_weight[3, 31]",0.023,0.035,0.0,0.082,0.001,0.002,753.872,1139.26,1.004
