lag_days,beta_mean,beta_std,beta_ci_low,beta_ci_high,beta_orig_mean,beta_orig_std,beta_orig_ci_low,beta_orig_ci_high,waic,loo,n_eff_beta,rhat_beta,n_weight_obs,n_workout_obs
0.0,0.101516104375,0.9587778858027217,-1.74358525,1.9573274999999992,1.9047707919129153,17.98977732698326,-32.71530441260767,36.72580104567203,,,,,147,136
1.0,-0.118894090818,0.9830998964535704,-2.000145,1.6880307499999996,-2.230838081459506,18.44613699300429,-37.52919597384479,31.672922126458932,,,,,147,136
2.0,-0.12694580776999997,0.9513496335515642,-1.92401,1.7895814999999995,-2.3819143601380697,17.850399264654357,-36.100656875195114,33.57834298246733,,,,,147,136
3.0,-0.1530607222665,0.9626006975132182,-1.974261,1.7558527499999994,-2.8719147071025892,18.06150565160689,-37.04352833045544,32.94548243050593,,,,,147,136
7.0,-0.1666274111285,0.9465833591684858,-1.96726825,1.7381907499999991,-3.1264697143736497,17.760968525689098,-36.91232170036308,32.614086127092904,,,,,147,136
