,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing_raw[41, 0]",0.304,0.953,-1.428,2.016,0.019,0.024,2500.337,1401.13,1.003
"eta_inducing_raw[41, 1]",-0.043,1.028,-1.797,2.011,0.016,0.027,4215.879,1220.966,1.001
"eta_inducing_raw[42, 0]",0.267,1.023,-1.638,2.168,0.017,0.024,3474.186,1541.117,1.002
"eta_inducing_raw[42, 1]",-0.051,0.972,-1.837,1.771,0.016,0.022,3777.786,1608.181,1.0
"eta_inducing_raw[43, 0]",0.195,1.003,-1.51,2.339,0.019,0.026,2909.227,1364.363,1.007
"eta_inducing_raw[43, 1]",-0.04,1.003,-1.794,1.932,0.016,0.026,3829.845,1159.238,1.003
"eta_inducing_raw[44, 0]",0.128,1.01,-1.661,2.216,0.019,0.03,2831.606,1022.357,1.001
"eta_inducing_raw[44, 1]",-0.041,1.028,-2.072,1.867,0.018,0.031,3408.95,1146.228,1.002
"eta_inducing_raw[45, 0]",0.13,0.956,-1.671,1.948,0.014,0.025,4595.034,1556.977,1.009
"eta_inducing_raw[45, 1]",-0.015,1.026,-1.907,1.851,0.015,0.032,4797.448,1335.796,1.002
"eta_inducing_raw[46, 0]",0.098,0.966,-1.729,1.934,0.016,0.024,3794.514,1609.581,1.0
"eta_inducing_raw[46, 1]",-0.032,1.01,-1.969,1.793,0.017,0.022,3527.651,1625.323,1.001
"eta_inducing_raw[47, 0]",0.079,1.002,-1.68,2.067,0.018,0.026,2923.992,1291.492,1.007
"eta_inducing_raw[47, 1]",0.01,0.968,-1.803,1.729,0.017,0.021,3130.11,1491.446,1.0
"eta_inducing_raw[48, 0]",0.058,0.999,-1.785,1.993,0.017,0.027,3294.195,1280.092,1.001
"eta_inducing_raw[48, 1]",-0.051,0.975,-1.819,1.833,0.019,0.029,2582.275,833.805,1.002
"eta_inducing_raw[49, 0]",0.041,1.011,-1.871,1.86,0.016,0.031,4123.282,1333.616,1.006
"eta_inducing_raw[49, 1]",-0.013,0.994,-1.941,1.728,0.018,0.029,3096.93,1215.744,1.001
lag_scaled,0.003,0.003,0.0,0.009,0.0,0.0,2771.393,1041.368,1.0
"eta_inducing[0, 0]",-1.681,0.485,-2.538,-0.761,0.012,0.011,1723.017,1633.281,1.0
"eta_inducing[0, 1]",-1.26,0.523,-2.19,-0.364,0.017,0.012,863.985,938.631,1.002
"eta_inducing[1, 0]",-0.598,0.745,-2.003,0.807,0.016,0.017,2214.631,1547.581,1.005
"eta_inducing[1, 1]",-0.057,0.742,-1.493,1.382,0.017,0.02,1928.035,1341.85,1.0
"eta_inducing[2, 0]",-0.656,0.892,-2.378,1.025,0.015,0.022,3449.627,1451.366,1.001
"eta_inducing[2, 1]",-0.04,0.857,-1.563,1.606,0.018,0.018,2161.513,1492.292,1.001
"eta_inducing[3, 0]",-0.763,0.926,-2.462,0.949,0.018,0.022,2768.678,1490.188,1.001
"eta_inducing[3, 1]",-0.044,0.947,-1.825,1.758,0.02,0.021,2321.21,1312.785,0.999
"eta_inducing[4, 0]",-0.629,0.933,-2.486,1.015,0.016,0.022,3266.417,1469.089,1.006
"eta_inducing[4, 1]",-0.074,0.922,-1.817,1.637,0.015,0.022,3776.557,1559.456,1.002
"eta_inducing[5, 0]",-0.522,0.975,-2.192,1.479,0.021,0.024,2200.661,1358.341,1.001
"eta_inducing[5, 1]",-0.036,0.97,-1.949,1.778,0.017,0.023,3148.719,1423.234,1.004
"eta_inducing[6, 0]",-0.432,0.995,-2.298,1.355,0.018,0.024,3134.773,1283.126,1.0
"eta_inducing[6, 1]",-0.084,0.991,-1.823,1.917,0.019,0.022,2734.394,1685.64,1.0
"eta_inducing[7, 0]",-0.294,1.0,-2.363,1.44,0.019,0.028,2895.371,1236.211,1.007
"eta_inducing[7, 1]",-0.103,0.987,-1.916,1.731,0.016,0.024,3704.572,1456.852,1.002
"eta_inducing[8, 0]",-0.122,0.966,-1.93,1.621,0.018,0.026,2929.278,1355.297,1.003
"eta_inducing[8, 1]",-0.14,0.96,-2.168,1.454,0.018,0.023,2754.425,1537.453,1.006
"eta_inducing[9, 0]",0.037,0.964,-1.841,1.813,0.016,0.024,3559.365,1494.055,1.005
"eta_inducing[9, 1]",-0.183,1.005,-2.071,1.728,0.018,0.022,3231.935,1440.122,1.004
"eta_inducing[10, 0]",0.197,0.981,-1.657,1.954,0.016,0.024,3651.922,1542.289,1.0
"eta_inducing[10, 1]",-0.182,0.987,-2.167,1.63,0.017,0.026,3522.917,996.437,1.0
"eta_inducing[11, 0]",0.328,0.943,-1.386,2.19,0.016,0.026,3407.044,1264.44,1.0
"eta_inducing[11, 1]",-0.184,0.937,-1.966,1.515,0.017,0.022,3128.503,1407.605,0.999
"eta_inducing[12, 0]",0.353,0.971,-1.449,2.195,0.016,0.022,3613.688,1550.418,1.004
"eta_inducing[12, 1]",-0.175,0.957,-2.046,1.489,0.017,0.024,3290.58,1487.012,1.006
"eta_inducing[13, 0]",0.488,0.967,-1.206,2.353,0.016,0.023,3680.929,1549.444,1.0
"eta_inducing[13, 1]",-0.203,0.962,-1.916,1.598,0.015,0.023,4068.704,1594.699,1.004
"eta_inducing[14, 0]",0.504,0.986,-1.272,2.472,0.018,0.026,3176.178,1256.833,1.002
"eta_inducing[14, 1]",-0.158,1.018,-2.134,1.685,0.018,0.024,3361.47,1506.251,1.0
"eta_inducing[15, 0]",0.525,0.93,-1.117,2.309,0.018,0.022,2619.546,1140.392,1.001
"eta_inducing[15, 1]",-0.195,0.991,-2.058,1.617,0.018,0.025,2930.029,1287.762,0.999
"eta_inducing[16, 0]",0.446,0.985,-1.405,2.177,0.02,0.021,2461.254,1712.424,1.0
"eta_inducing[16, 1]",-0.139,0.995,-1.938,1.75,0.018,0.025,2884.245,1070.733,1.009
"eta_inducing[17, 0]",0.424,0.961,-1.34,2.278,0.018,0.023,3008.021,1228.818,1.005
"eta_inducing[17, 1]",-0.163,1.002,-1.841,1.892,0.017,0.025,3467.394,1405.856,1.002
"eta_inducing[18, 0]",0.368,0.926,-1.45,2.053,0.016,0.021,3458.441,1449.976,1.0
"eta_inducing[18, 1]",-0.164,1.02,-2.017,1.755,0.018,0.028,3399.214,1399.807,1.004
"eta_inducing[19, 0]",0.311,0.966,-1.475,2.128,0.018,0.023,2904.722,1368.086,1.001
"eta_inducing[19, 1]",-0.155,0.952,-1.796,1.731,0.017,0.023,3128.747,1421.927,1.003
"eta_inducing[20, 0]",0.299,0.974,-1.41,2.293,0.018,0.024,2992.039,1492.985,1.003
"eta_inducing[20, 1]",-0.141,0.954,-1.856,1.641,0.015,0.025,3968.008,1571.485,1.0
"eta_inducing[21, 0]",0.219,0.98,-1.586,1.967,0.02,0.023,2455.3,1419.175,1.002
"eta_inducing[21, 1]",-0.134,0.972,-1.97,1.647,0.019,0.026,2475.22,1259.747,1.008
"eta_inducing[22, 0]",0.144,0.959,-1.677,1.931,0.018,0.024,2904.945,1158.981,1.001
"eta_inducing[22, 1]",-0.142,0.958,-1.875,1.717,0.014,0.029,4935.821,1251.003,1.003
"eta_inducing[23, 0]",0.091,0.967,-1.68,1.932,0.017,0.025,3064.968,1327.221,1.001
"eta_inducing[23, 1]",-0.115,0.968,-1.967,1.619,0.018,0.022,2965.293,1450.036,1.0
"eta_inducing[24, 0]",-0.005,0.929,-1.79,1.727,0.016,0.026,3296.47,1361.72,1.002
"eta_inducing[24, 1]",-0.15,0.961,-1.892,1.613,0.017,0.024,3290.541,1460.839,1.001
"eta_inducing[25, 0]",-0.084,0.952,-1.753,1.764,0.019,0.02,2554.779,1467.344,1.006
"eta_inducing[25, 1]",-0.13,0.983,-2.011,1.696,0.016,0.023,3929.041,1126.326,0.999
"eta_inducing[26, 0]",-0.1,0.976,-1.874,1.757,0.018,0.024,2917.311,1484.719,1.003
"eta_inducing[26, 1]",-0.114,0.961,-1.9,1.648,0.018,0.021,2872.191,1686.231,1.003
"eta_inducing[27, 0]",-0.129,0.946,-1.937,1.609,0.017,0.025,3123.777,1330.516,1.002
"eta_inducing[27, 1]",-0.133,0.965,-1.973,1.652,0.016,0.023,3589.81,1418.523,1.002
"eta_inducing[28, 0]",-0.193,0.953,-1.9,1.594,0.016,0.024,3389.609,1445.221,1.004
"eta_inducing[28, 1]",-0.113,0.986,-1.844,1.851,0.016,0.024,3956.92,1409.186,1.001
"eta_inducing[29, 0]",-0.168,0.887,-1.912,1.397,0.016,0.023,3260.152,1383.939,1.005
"eta_inducing[29, 1]",-0.12,0.937,-2.013,1.433,0.015,0.021,3801.404,1707.006,1.003
"eta_inducing[30, 0]",-0.106,0.915,-1.783,1.658,0.017,0.023,2998.477,1416.747,1.0
"eta_inducing[30, 1]",-0.103,1.011,-2.038,1.68,0.018,0.025,3232.714,1614.668,1.0
"eta_inducing[31, 0]",-0.014,0.94,-1.701,1.756,0.019,0.023,2571.82,1405.9,1.001
"eta_inducing[31, 1]",-0.111,0.95,-1.816,1.704,0.015,0.027,3637.241,1486.431,1.0
"eta_inducing[32, 0]",0.044,0.965,-1.829,1.711,0.018,0.022,2996.735,1486.396,1.001
"eta_inducing[32, 1]",-0.095,0.965,-1.833,1.807,0.015,0.024,4150.678,1566.001,1.003
"eta_inducing[33, 0]",0.174,0.897,-1.357,2.011,0.017,0.021,2826.631,1425.72,1.001
"eta_inducing[33, 1]",-0.101,0.986,-1.911,1.846,0.016,0.028,3581.53,1174.127,1.008
"eta_inducing[34, 0]",0.247,0.959,-1.594,2.008,0.015,0.021,4011.314,1778.963,1.0
"eta_inducing[34, 1]",-0.087,0.984,-1.907,1.722,0.018,0.024,2856.243,1288.643,1.003
"eta_inducing[35, 0]",0.324,0.966,-1.533,2.081,0.015,0.025,4152.938,1444.821,1.0
"eta_inducing[35, 1]",-0.093,0.983,-1.75,1.985,0.015,0.026,4227.141,1400.763,1.003
"eta_inducing[36, 0]",0.366,0.956,-1.384,2.189,0.017,0.024,3187.594,1202.839,1.001
"eta_inducing[36, 1]",-0.074,1.017,-1.951,1.787,0.017,0.027,3452.594,1347.745,1.003
"eta_inducing[37, 0]",0.366,0.951,-1.348,2.276,0.015,0.024,4013.208,1315.387,1.001
"eta_inducing[37, 1]",-0.044,0.978,-1.783,1.966,0.017,0.028,3435.236,1171.151,1.001
"eta_inducing[38, 0]",0.388,0.951,-1.4,2.174,0.018,0.024,2709.157,1170.649,1.002
"eta_inducing[38, 1]",-0.057,1.024,-2.122,1.771,0.018,0.029,3500.315,1004.848,1.004
"eta_inducing[39, 0]",0.376,0.939,-1.34,2.161,0.017,0.024,3207.289,1614.158,1.001
