,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"eta_inducing_raw[23, 1]",-0.115,0.968,-1.967,1.619,0.018,0.022,2965.293,1450.036,1.0
"eta_inducing_raw[24, 0]",-0.005,0.929,-1.79,1.727,0.016,0.026,3296.47,1361.72,1.002
"eta_inducing_raw[24, 1]",-0.15,0.961,-1.892,1.613,0.017,0.024,3290.541,1460.839,1.001
"eta_inducing_raw[25, 0]",-0.084,0.952,-1.753,1.764,0.019,0.02,2554.779,1467.344,1.006
"eta_inducing_raw[25, 1]",-0.13,0.983,-2.011,1.696,0.016,0.023,3929.041,1126.326,0.999
"eta_inducing_raw[26, 0]",-0.1,0.976,-1.874,1.757,0.018,0.024,2917.311,1484.719,1.003
"eta_inducing_raw[26, 1]",-0.114,0.961,-1.9,1.648,0.018,0.021,2872.191,1686.231,1.003
"eta_inducing_raw[27, 0]",-0.129,0.946,-1.937,1.609,0.017,0.025,3123.777,1330.516,1.002
"eta_inducing_raw[27, 1]",-0.133,0.965,-1.973,1.652,0.016,0.023,3589.81,1418.523,1.002
"eta_inducing_raw[28, 0]",-0.193,0.953,-1.9,1.594,0.016,0.024,3389.609,1445.221,1.004
"eta_inducing_raw[28, 1]",-0.113,0.986,-1.844,1.851,0.016,0.024,3956.92,1409.186,1.001
"eta_inducing_raw[29, 0]",-0.168,0.887,-1.912,1.397,0.016,0.023,3260.152,1383.939,1.005
"eta_inducing_raw[29, 1]",-0.12,0.937,-2.013,1.433,0.015,0.021,3801.404,1707.006,1.003
"eta_inducing_raw[30, 0]",-0.106,0.915,-1.783,1.658,0.017,0.023,2998.477,1416.747,1.0
"eta_inducing_raw[30, 1]",-0.103,1.011,-2.038,1.68,0.018,0.025,3232.714,1614.668,1.0
"eta_inducing_raw[31, 0]",-0.014,0.94,-1.701,1.756,0.019,0.023,2571.82,1405.9,1.001
"eta_inducing_raw[31, 1]",-0.111,0.95,-1.816,1.704,0.015,0.027,3637.241,1486.431,1.0
"eta_inducing_raw[32, 0]",0.044,0.965,-1.829,1.711,0.018,0.022,2996.735,1486.396,1.001
"eta_inducing_raw[32, 1]",-0.095,0.965,-1.833,1.807,0.015,0.024,4150.678,1566.001,1.003
"eta_inducing_raw[33, 0]",0.174,0.897,-1.357,2.011,0.017,0.021,2826.631,1425.72,1.001
"eta_inducing_raw[33, 1]",-0.101,0.986,-1.911,1.846,0.016,0.028,3581.53,1174.127,1.008
"eta_inducing_raw[34, 0]",0.247,0.959,-1.594,2.008,0.015,0.021,4011.314,1778.963,1.0
"eta_inducing_raw[34, 1]",-0.087,0.984,-1.907,1.722,0.018,0.024,2856.243,1288.643,1.003
"eta_inducing_raw[35, 0]",0.324,0.966,-1.533,2.081,0.015,0.025,4152.938,1444.821,1.0
"eta_inducing_raw[35, 1]",-0.093,0.983,-1.75,1.985,0.015,0.026,4227.141,1400.763,1.003
"eta_inducing_raw[36, 0]",0.366,0.956,-1.384,2.189,0.017,0.024,3187.594,1202.839,1.001
"eta_inducing_raw[36, 1]",-0.074,1.017,-1.951,1.787,0.017,0.027,3452.594,1347.745,1.003
"eta_inducing_raw[37, 0]",0.366,0.951,-1.348,2.276,0.015,0.024,4013.208,1315.387,1.001
"eta_inducing_raw[37, 1]",-0.044,0.978,-1.783,1.966,0.017,0.028,3435.236,1171.151,1.001
"eta_inducing_raw[38, 0]",0.388,0.951,-1.4,2.174,0.018,0.024,2709.157,1170.649,1.002
"eta_inducing_raw[38, 1]",-0.057,1.024,-2.122,1.771,0.018,0.029,3500.315,1004.848,1.004
"eta_inducing_raw[39, 0]",0.376,0.939,-1.34,2.161,0.017,0.024,3207.289,1614.158,1.001
"eta_inducing_raw[39, 1]",-0.051,1.013,-1.863,1.894,0.018,0.024,3156.233,1447.15,1.004
"eta_inducing_raw[40, 0]",0.364,0.931,-1.363,2.165,0.016,0.021,3236.997,1564.401,1.001
"eta_inducing_raw[40, 1]",-0.082,1.044,-1.92,1.985,0.019,0.025,3163.833,1156.564,1.002
