,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.968,0.223,0.598,1.401,0.006,0.005,1506.847,1378.32,1.004
rho_weight,0.193,0.032,0.134,0.256,0.001,0.001,1157.187,1219.853,1.001
alpha_workout,0.151,0.071,0.048,0.283,0.003,0.004,735.615,395.813,1.004
rho_workout,1.227,0.717,0.342,2.625,0.029,0.027,611.841,1029.274,1.004
beta,-0.153,0.963,-1.853,1.713,0.018,0.024,2799.412,1284.046,1.005
sigma_weight,0.377,0.026,0.328,0.426,0.001,0.001,1534.441,466.143,1.004
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,2197.728,999.384,1.008
nu_weight,24.684,13.558,5.444,48.731,0.284,0.423,2123.762,317.716,1.002
nu_workout,1.424,0.224,1.037,1.821,0.005,0.005,1442.853,699.013,1.002
"eta_inducing_raw[0, 0]",-1.694,0.491,-2.599,-0.846,0.012,0.011,1697.328,1387.824,0.999
"eta_inducing_raw[0, 1]",-1.167,0.493,-2.111,-0.401,0.017,0.01,742.364,381.866,1.004
"eta_inducing_raw[1, 0]",-0.573,0.744,-1.913,0.826,0.017,0.02,1902.335,1469.259,1.003
"eta_inducing_raw[1, 1]",-0.132,0.785,-1.669,1.302,0.02,0.022,1639.413,1060.891,1.002
"eta_inducing_raw[2, 0]",-0.637,0.97,-2.413,1.156,0.02,0.024,2242.246,1381.522,1.002
"eta_inducing_raw[2, 1]",-0.081,0.884,-1.821,1.464,0.023,0.021,1424.457,428.068,1.003
"eta_inducing_raw[3, 0]",-0.751,0.921,-2.546,0.912,0.018,0.027,2542.045,1369.767,1.005
"eta_inducing_raw[3, 1]",-0.111,0.954,-1.913,1.667,0.017,0.025,3413.931,1313.784,1.001
"eta_inducing_raw[4, 0]",-0.631,0.958,-2.352,1.223,0.018,0.024,2774.893,1199.147,1.001
"eta_inducing_raw[4, 1]",-0.105,1.036,-2.042,1.809,0.019,0.027,2922.858,1372.808,1.0
"eta_inducing_raw[5, 0]",-0.52,0.999,-2.193,1.47,0.019,0.024,2654.597,1398.881,1.003
"eta_inducing_raw[5, 1]",-0.114,0.949,-2.016,1.501,0.016,0.025,3675.03,1391.778,1.004
"eta_inducing_raw[6, 0]",-0.418,0.936,-2.195,1.321,0.018,0.025,2686.191,1386.448,1.001
"eta_inducing_raw[6, 1]",-0.08,1.053,-2.022,1.927,0.021,0.027,2539.629,1136.552,1.003
"eta_inducing_raw[7, 0]",-0.302,0.931,-2.068,1.295,0.018,0.033,2561.114,1063.373,1.001
"eta_inducing_raw[7, 1]",-0.099,0.98,-1.804,1.851,0.019,0.022,2606.529,1458.673,1.003
"eta_inducing_raw[8, 0]",-0.101,0.954,-1.882,1.661,0.018,0.022,2742.954,1622.838,1.001
"eta_inducing_raw[8, 1]",-0.089,0.999,-1.961,1.79,0.015,0.025,4522.397,1281.517,1.0
"eta_inducing_raw[9, 0]",0.038,0.919,-1.549,1.813,0.017,0.021,2814.189,1509.472,1.002
"eta_inducing_raw[9, 1]",-0.119,0.986,-1.85,1.906,0.02,0.031,2427.085,1178.895,1.015
"eta_inducing_raw[10, 0]",0.165,0.948,-1.692,1.864,0.018,0.023,2884.277,1442.096,1.005
"eta_inducing_raw[10, 1]",-0.158,0.953,-1.99,1.594,0.017,0.023,3086.602,1417.835,1.0
"eta_inducing_raw[11, 0]",0.332,0.997,-1.617,2.054,0.02,0.026,2567.98,1390.999,1.008
"eta_inducing_raw[11, 1]",-0.15,0.953,-1.917,1.588,0.016,0.025,3387.343,1329.299,1.003
"eta_inducing_raw[12, 0]",0.411,0.97,-1.316,2.338,0.018,0.024,2929.045,1479.834,1.002
"eta_inducing_raw[12, 1]",-0.152,0.98,-1.968,1.766,0.017,0.028,3350.311,1478.605,1.01
"eta_inducing_raw[13, 0]",0.49,0.98,-1.306,2.342,0.018,0.028,2808.843,1392.029,1.0
"eta_inducing_raw[13, 1]",-0.16,0.957,-2.049,1.523,0.016,0.029,3579.013,1307.59,1.002
"eta_inducing_raw[14, 0]",0.494,0.974,-1.334,2.274,0.018,0.023,3072.264,1567.73,1.0
"eta_inducing_raw[14, 1]",-0.154,0.997,-1.999,1.785,0.03,0.033,1194.903,442.208,1.003
"eta_inducing_raw[15, 0]",0.531,0.971,-1.318,2.318,0.02,0.026,2443.339,1301.914,1.002
