,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.974,0.206,0.612,1.353,0.005,0.004,1441.946,1498.889,1.001
rho_weight,0.193,0.031,0.138,0.256,0.001,0.001,1292.484,1259.683,1.003
alpha_workout,0.23,0.101,0.082,0.425,0.003,0.003,1243.642,1278.315,0.999
rho_workout,1.601,0.857,0.422,3.273,0.037,0.032,595.541,765.624,1.001
beta,-0.202,0.912,-1.748,1.632,0.014,0.024,3935.998,1487.066,1.004
sigma_weight,0.377,0.026,0.33,0.425,0.0,0.001,2809.03,1463.51,1.0
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,2575.399,1238.011,1.0
nu_weight,24.451,13.888,5.194,50.33,0.26,0.398,2873.361,1341.898,1.002
nu_workout,1.092,0.082,1.0,1.243,0.001,0.002,2243.176,1014.408,1.001
"eta_inducing_raw[0, 0]",-1.679,0.477,-2.481,-0.68,0.01,0.011,2397.198,1458.99,1.0
"eta_inducing_raw[0, 1]",-1.29,0.505,-2.176,-0.44,0.014,0.011,1228.66,1293.771,0.999
"eta_inducing_raw[1, 0]",-0.591,0.751,-2.064,0.751,0.016,0.016,2191.002,1525.75,1.002
"eta_inducing_raw[1, 1]",-0.032,0.747,-1.44,1.378,0.015,0.021,2611.372,1385.469,1.003
"eta_inducing_raw[2, 0]",-0.634,0.936,-2.421,1.052,0.016,0.024,3526.182,1419.119,1.0
"eta_inducing_raw[2, 1]",-0.059,0.868,-1.697,1.54,0.016,0.023,3017.221,1268.114,1.003
"eta_inducing_raw[3, 0]",-0.758,0.922,-2.422,1.022,0.016,0.02,3429.834,1513.041,0.999
"eta_inducing_raw[3, 1]",-0.033,0.927,-1.756,1.706,0.014,0.024,4137.096,1424.185,1.003
"eta_inducing_raw[4, 0]",-0.637,0.946,-2.538,1.048,0.018,0.025,2703.767,1384.527,1.003
"eta_inducing_raw[4, 1]",-0.046,0.99,-1.837,1.851,0.015,0.025,4064.14,1377.495,1.003
"eta_inducing_raw[5, 0]",-0.544,0.941,-2.265,1.246,0.017,0.02,2980.273,1576.337,1.0
"eta_inducing_raw[5, 1]",-0.076,0.995,-2.079,1.751,0.016,0.026,4089.998,1351.886,1.001
"eta_inducing_raw[6, 0]",-0.426,0.953,-2.297,1.254,0.016,0.023,3360.251,1557.463,1.004
"eta_inducing_raw[6, 1]",-0.094,0.921,-1.646,1.736,0.015,0.021,3753.314,1625.547,1.001
"eta_inducing_raw[7, 0]",-0.236,0.944,-1.9,1.578,0.017,0.023,3120.186,1359.049,1.002
"eta_inducing_raw[7, 1]",-0.153,0.985,-1.869,1.872,0.017,0.024,3600.524,1477.157,1.006
"eta_inducing_raw[8, 0]",-0.115,0.983,-2.005,1.678,0.017,0.023,3349.942,1464.012,1.002
"eta_inducing_raw[8, 1]",-0.137,1.001,-2.073,1.695,0.018,0.027,3256.222,1135.753,1.006
"eta_inducing_raw[9, 0]",0.024,0.965,-1.818,1.766,0.016,0.023,3435.176,1446.343,1.0
"eta_inducing_raw[9, 1]",-0.174,0.971,-1.967,1.679,0.017,0.027,3325.259,1273.507,1.001
"eta_inducing_raw[10, 0]",0.226,0.956,-1.509,2.059,0.017,0.024,3024.933,1458.073,1.0
"eta_inducing_raw[10, 1]",-0.182,0.985,-2.081,1.641,0.017,0.027,3470.611,1222.709,1.004
"eta_inducing_raw[11, 0]",0.32,0.979,-1.519,2.213,0.017,0.026,3377.129,1390.658,1.0
"eta_inducing_raw[11, 1]",-0.188,0.997,-2.039,1.683,0.018,0.026,3005.001,1512.57,1.001
"eta_inducing_raw[12, 0]",0.371,0.924,-1.249,2.167,0.015,0.023,3722.104,1404.665,1.002
"eta_inducing_raw[12, 1]",-0.181,0.988,-2.121,1.593,0.015,0.027,4226.404,1434.673,0.999
"eta_inducing_raw[13, 0]",0.468,0.932,-1.319,2.26,0.016,0.023,3158.638,1479.901,1.005
"eta_inducing_raw[13, 1]",-0.172,0.99,-1.92,1.735,0.017,0.025,3315.31,1390.921,1.004
"eta_inducing_raw[14, 0]",0.478,0.99,-1.236,2.451,0.017,0.027,3439.544,1102.056,1.004
"eta_inducing_raw[14, 1]",-0.18,1.0,-1.99,1.717,0.017,0.026,3624.568,1477.224,1.0
"eta_inducing_raw[15, 0]",0.463,0.999,-1.48,2.308,0.017,0.024,3486.682,1304.598,1.002
"eta_inducing_raw[15, 1]",-0.178,1.009,-2.107,1.675,0.016,0.025,3961.887,1345.448,1.0
"eta_inducing_raw[16, 0]",0.469,0.957,-1.468,2.206,0.019,0.023,2632.68,1265.256,0.999
"eta_inducing_raw[16, 1]",-0.203,1.013,-2.115,1.688,0.016,0.022,3806.134,1678.304,1.002
"eta_inducing_raw[17, 0]",0.442,0.943,-1.194,2.317,0.018,0.022,2815.41,1599.4,1.004
"eta_inducing_raw[17, 1]",-0.169,0.987,-1.965,1.778,0.017,0.028,3488.958,1365.501,1.003
"eta_inducing_raw[18, 0]",0.383,0.934,-1.466,2.121,0.017,0.027,3188.22,1311.777,1.006
"eta_inducing_raw[18, 1]",-0.188,1.014,-2.025,1.719,0.018,0.03,3298.369,1219.188,1.005
"eta_inducing_raw[19, 0]",0.348,0.91,-1.429,1.984,0.016,0.024,3148.28,1278.977,1.001
"eta_inducing_raw[19, 1]",-0.175,0.942,-1.906,1.611,0.016,0.022,3622.696,1471.84,1.0
"eta_inducing_raw[20, 0]",0.296,0.954,-1.476,2.101,0.016,0.023,3559.35,1487.766,1.004
"eta_inducing_raw[20, 1]",-0.196,0.985,-1.907,1.734,0.018,0.022,2970.612,1451.014,1.008
"eta_inducing_raw[21, 0]",0.216,0.942,-1.446,2.069,0.019,0.027,2536.2,1006.874,1.001
"eta_inducing_raw[21, 1]",-0.116,0.986,-1.869,1.81,0.017,0.024,3530.828,1621.133,1.005
"eta_inducing_raw[22, 0]",0.142,0.959,-1.758,1.906,0.018,0.029,2811.093,1089.175,1.001
"eta_inducing_raw[22, 1]",-0.132,1.002,-2.06,1.651,0.018,0.026,2996.971,1425.687,0.999
"eta_inducing_raw[23, 0]",0.067,1.009,-1.796,1.986,0.016,0.026,3854.782,874.354,1.005
"eta_inducing_raw[23, 1]",-0.147,0.97,-1.975,1.557,0.018,0.022,2848.333,1473.736,0.999
"eta_inducing_raw[24, 0]",-0.01,0.991,-1.875,1.84,0.019,0.025,2705.258,1291.781,1.0
"eta_inducing_raw[24, 1]",-0.153,0.931,-1.819,1.687,0.015,0.022,3779.558,1395.859,1.002
"eta_inducing_raw[25, 0]",-0.063,0.956,-1.72,1.94,0.016,0.025,3618.181,1574.495,1.002
