,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.977,0.217,0.618,1.411,0.006,0.004,1462.268,1781.04,1.0
rho_weight,0.194,0.032,0.132,0.254,0.001,0.001,1176.94,1139.268,1.002
alpha_workout,0.354,0.152,0.141,0.625,0.005,0.008,1370.201,708.59,1.003
rho_workout,1.371,0.775,0.345,2.862,0.036,0.034,491.895,666.156,1.002
beta,-0.285,0.819,-1.716,1.407,0.015,0.02,2829.926,1472.82,1.001
sigma_weight,0.378,0.026,0.332,0.428,0.001,0.001,1950.661,1162.094,1.001
sigma_workout,0.01,0.0,0.01,0.011,0.0,0.0,2883.694,1302.438,1.0
nu_weight,25.232,14.658,5.031,51.509,0.268,0.54,2289.988,1141.426,1.001
nu_workout,1.04,0.037,1.0,1.109,0.001,0.001,2843.889,1296.143,0.999
"eta_inducing_raw[0, 0]",-1.666,0.488,-2.631,-0.818,0.01,0.011,2213.438,1512.607,1.001
"eta_inducing_raw[0, 1]",-1.336,0.504,-2.236,-0.438,0.013,0.011,1374.54,697.351,1.005
"eta_inducing_raw[1, 0]",-0.626,0.777,-2.026,0.797,0.016,0.021,2236.036,1468.069,1.001
"eta_inducing_raw[1, 1]",-0.025,0.665,-1.313,1.208,0.014,0.016,2447.415,1552.229,1.002
"eta_inducing_raw[2, 0]",-0.673,0.94,-2.415,1.069,0.017,0.02,3103.271,1594.996,1.002
"eta_inducing_raw[2, 1]",-0.069,0.896,-1.719,1.604,0.015,0.025,3389.335,1172.738,1.002
"eta_inducing_raw[3, 0]",-0.803,0.982,-2.52,1.133,0.017,0.023,3486.771,1441.64,1.0
"eta_inducing_raw[3, 1]",-0.066,0.925,-1.735,1.754,0.014,0.021,4351.34,1675.801,0.999
"eta_inducing_raw[4, 0]",-0.63,0.911,-2.38,1.05,0.016,0.022,3249.973,1341.914,1.002
"eta_inducing_raw[4, 1]",-0.072,0.957,-2.01,1.581,0.017,0.025,2997.002,1510.747,1.003
"eta_inducing_raw[5, 0]",-0.555,0.967,-2.325,1.333,0.017,0.029,3249.349,1277.671,1.008
"eta_inducing_raw[5, 1]",-0.125,1.004,-2.069,1.668,0.016,0.025,4098.24,1490.104,1.0
"eta_inducing_raw[6, 0]",-0.435,0.921,-2.131,1.274,0.017,0.022,3090.239,1344.942,1.0
"eta_inducing_raw[6, 1]",-0.129,0.95,-1.83,1.755,0.014,0.029,4331.089,1434.103,1.003
"eta_inducing_raw[7, 0]",-0.24,0.97,-2.076,1.538,0.018,0.023,3050.65,1262.375,1.001
"eta_inducing_raw[7, 1]",-0.156,0.995,-2.001,1.66,0.016,0.024,3775.006,1364.292,1.003
"eta_inducing_raw[8, 0]",-0.092,0.977,-1.826,1.858,0.018,0.026,2897.264,1470.731,1.003
"eta_inducing_raw[8, 1]",-0.197,1.009,-2.122,1.598,0.016,0.03,4107.73,1256.153,1.004
"eta_inducing_raw[9, 0]",0.053,0.967,-1.875,1.746,0.016,0.026,3616.756,1367.524,1.003
"eta_inducing_raw[9, 1]",-0.212,0.993,-2.035,1.604,0.016,0.028,3778.304,1291.433,1.003
"eta_inducing_raw[10, 0]",0.191,0.932,-1.45,2.086,0.015,0.024,3751.829,1421.107,1.002
"eta_inducing_raw[10, 1]",-0.219,0.973,-2.069,1.63,0.016,0.022,3512.642,1488.432,1.005
"eta_inducing_raw[11, 0]",0.316,0.942,-1.48,2.022,0.016,0.024,3476.345,1466.583,1.0
"eta_inducing_raw[11, 1]",-0.242,0.939,-1.975,1.504,0.014,0.025,4714.813,1449.743,1.003
"eta_inducing_raw[12, 0]",0.396,0.923,-1.362,2.082,0.016,0.022,3407.015,1300.474,1.004
"eta_inducing_raw[12, 1]",-0.197,0.964,-1.946,1.589,0.017,0.025,3368.068,1255.711,0.999
"eta_inducing_raw[13, 0]",0.459,0.957,-1.236,2.293,0.017,0.023,3063.004,1321.463,1.001
"eta_inducing_raw[13, 1]",-0.231,1.018,-2.342,1.561,0.017,0.027,3667.564,1411.564,1.0
"eta_inducing_raw[14, 0]",0.465,0.958,-1.198,2.426,0.017,0.026,3059.007,940.568,1.001
"eta_inducing_raw[14, 1]",-0.188,1.037,-2.098,1.736,0.016,0.03,4259.498,1356.784,1.003
"eta_inducing_raw[15, 0]",0.481,0.919,-1.178,2.194,0.017,0.022,2849.363,1388.626,1.001
"eta_inducing_raw[15, 1]",-0.21,0.983,-1.988,1.738,0.016,0.025,3618.499,1429.322,1.001
"eta_inducing_raw[16, 0]",0.441,1.021,-1.45,2.385,0.016,0.03,3887.899,1191.109,1.005
"eta_inducing_raw[16, 1]",-0.155,1.013,-2.069,1.711,0.016,0.025,4034.563,1591.215,1.005
"eta_inducing_raw[17, 0]",0.397,0.988,-1.35,2.335,0.016,0.027,3632.417,1261.184,1.005
"eta_inducing_raw[17, 1]",-0.195,0.981,-1.918,1.726,0.016,0.025,3657.163,1442.859,1.0
"eta_inducing_raw[18, 0]",0.362,0.966,-1.405,2.11,0.016,0.023,3650.476,1469.669,1.003
"eta_inducing_raw[18, 1]",-0.162,0.973,-1.907,1.737,0.016,0.024,3833.199,1628.087,1.002
"eta_inducing_raw[19, 0]",0.319,0.965,-1.405,2.216,0.016,0.026,3831.972,1292.786,1.003
"eta_inducing_raw[19, 1]",-0.162,0.973,-1.96,1.679,0.015,0.024,4101.384,1331.839,1.0
"eta_inducing_raw[20, 0]",0.27,0.927,-1.454,1.981,0.018,0.022,2517.286,1222.918,1.004
"eta_inducing_raw[20, 1]",-0.159,1.005,-2.108,1.598,0.015,0.028,4470.133,1453.373,1.008
"eta_inducing_raw[21, 0]",0.17,0.917,-1.595,1.793,0.016,0.022,3135.234,1506.157,1.003
"eta_inducing_raw[21, 1]",-0.137,1.007,-2.058,1.617,0.018,0.025,3169.715,1578.378,1.0
"eta_inducing_raw[22, 0]",0.144,0.976,-1.608,1.94,0.017,0.022,3304.452,1515.257,1.004
"eta_inducing_raw[22, 1]",-0.141,0.997,-1.894,1.754,0.017,0.026,3552.021,1198.15,1.003
"eta_inducing_raw[23, 0]",0.078,0.97,-1.702,1.83,0.018,0.022,2776.03,1414.781,1.006
"eta_inducing_raw[23, 1]",-0.133,0.985,-1.915,1.75,0.019,0.024,2829.63,1281.823,1.001
"eta_inducing_raw[24, 0]",-0.013,0.969,-1.906,1.741,0.016,0.026,3602.971,1249.825,1.001
"eta_inducing_raw[24, 1]",-0.126,0.966,-1.904,1.632,0.015,0.026,4446.132,1519.33,1.005
"eta_inducing_raw[25, 0]",-0.119,0.938,-1.767,1.722,0.016,0.026,3415.868,1288.394,1.009
"eta_inducing_raw[25, 1]",-0.12,0.998,-1.896,1.777,0.014,0.025,5507.184,1535.685,1.005
"eta_inducing_raw[26, 0]",-0.128,0.957,-1.897,1.639,0.016,0.024,3421.319,1539.322,1.001
"eta_inducing_raw[26, 1]",-0.091,1.012,-1.888,1.827,0.015,0.026,4681.319,1214.568,0.999
"eta_inducing_raw[27, 0]",-0.174,0.97,-1.919,1.708,0.014,0.025,4798.633,1416.412,1.003
"eta_inducing_raw[27, 1]",-0.114,1.024,-2.115,1.766,0.016,0.032,4174.817,1133.125,1.004
"eta_inducing_raw[28, 0]",-0.181,0.908,-1.924,1.493,0.012,0.026,6014.186,1431.261,1.004
"eta_inducing_raw[28, 1]",-0.097,0.983,-2.082,1.631,0.015,0.027,4275.051,1507.847,0.999
"eta_inducing_raw[29, 0]",-0.152,0.964,-1.813,1.708,0.016,0.021,3719.218,1308.371,1.001
"eta_inducing_raw[29, 1]",-0.087,1.016,-1.946,1.781,0.016,0.026,3804.317,1186.903,1.005
"eta_inducing_raw[30, 0]",-0.111,0.952,-1.836,1.722,0.016,0.026,3555.343,1282.164,1.003
"eta_inducing_raw[30, 1]",-0.074,1.021,-2.008,1.814,0.018,0.025,3380.386,1192.142,1.003
"eta_inducing_raw[31, 0]",-0.026,0.944,-1.758,1.723,0.015,0.023,3836.944,1477.782,1.0
