,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.978,0.21,0.606,1.379,0.005,0.004,1605.732,1528.315,1.0
rho_weight,0.193,0.032,0.135,0.253,0.001,0.001,1182.266,1363.76,1.001
alpha_workout,0.247,0.112,0.099,0.469,0.003,0.003,1223.189,1471.148,1.003
rho_workout,1.59,0.854,0.456,3.318,0.039,0.033,501.592,791.062,1.005
beta,-0.254,0.908,-2.034,1.362,0.018,0.022,2613.665,1399.277,1.001
sigma_weight,0.377,0.026,0.324,0.42,0.0,0.001,3081.018,1569.641,1.001
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,1693.47,857.759,1.002
nu_weight,24.956,14.022,6.078,51.594,0.269,0.375,2720.287,1672.348,1.0
nu_workout,1.091,0.082,1.0,1.248,0.001,0.002,1931.002,1025.778,1.001
"eta_inducing_raw[0, 0]",-1.663,0.467,-2.501,-0.781,0.01,0.011,2095.74,1411.646,0.999
"eta_inducing_raw[0, 1]",-1.22,0.49,-2.067,-0.392,0.014,0.011,1219.642,1490.39,1.002
"eta_inducing_raw[1, 0]",-0.557,0.745,-1.953,0.836,0.016,0.017,2182.784,1222.629,1.003
"eta_inducing_raw[1, 1]",-0.053,0.761,-1.325,1.516,0.017,0.018,2096.168,1180.213,1.003
"eta_inducing_raw[2, 0]",-0.655,0.959,-2.461,1.154,0.019,0.019,2586.318,1453.646,1.001
"eta_inducing_raw[2, 1]",-0.032,0.895,-1.762,1.549,0.017,0.022,2928.068,1381.571,1.002
"eta_inducing_raw[3, 0]",-0.778,0.921,-2.398,0.944,0.016,0.023,3444.904,1533.651,1.0
"eta_inducing_raw[3, 1]",-0.031,0.95,-1.8,1.786,0.02,0.024,2284.369,1223.706,1.001
"eta_inducing_raw[4, 0]",-0.657,0.919,-2.404,1.064,0.018,0.021,2634.003,1264.996,1.001
"eta_inducing_raw[4, 1]",-0.078,0.958,-1.77,1.697,0.017,0.022,3374.3,1608.32,1.0
"eta_inducing_raw[5, 0]",-0.538,0.956,-2.324,1.265,0.018,0.023,2826.715,1485.0,1.0
"eta_inducing_raw[5, 1]",-0.109,0.986,-1.96,1.633,0.017,0.023,3475.492,1466.634,1.0
"eta_inducing_raw[6, 0]",-0.39,0.964,-2.176,1.401,0.017,0.023,3112.655,1380.899,1.002
"eta_inducing_raw[6, 1]",-0.086,0.963,-1.851,1.739,0.016,0.024,3705.988,1518.664,0.999
"eta_inducing_raw[7, 0]",-0.259,0.973,-2.131,1.511,0.016,0.025,3789.603,1752.264,1.002
"eta_inducing_raw[7, 1]",-0.096,1.018,-2.178,1.687,0.018,0.024,3299.649,1518.43,1.002
"eta_inducing_raw[8, 0]",-0.103,0.943,-1.777,1.769,0.018,0.024,2923.783,1408.854,1.0
"eta_inducing_raw[8, 1]",-0.121,0.982,-1.996,1.655,0.015,0.029,4500.792,1456.415,1.0
"eta_inducing_raw[9, 0]",0.043,0.968,-1.748,1.867,0.018,0.024,3115.902,1367.756,1.005
"eta_inducing_raw[9, 1]",-0.143,0.985,-1.85,1.689,0.019,0.027,2784.112,1351.301,1.009
"eta_inducing_raw[10, 0]",0.195,0.998,-1.725,1.991,0.015,0.023,4185.041,1497.895,1.002
"eta_inducing_raw[10, 1]",-0.201,0.977,-1.996,1.684,0.016,0.023,3724.873,1381.18,1.003
"eta_inducing_raw[11, 0]",0.31,1.013,-1.679,2.049,0.017,0.024,3555.744,1500.309,1.0
"eta_inducing_raw[11, 1]",-0.183,0.997,-1.915,1.841,0.018,0.023,3057.291,1523.727,1.002
"eta_inducing_raw[12, 0]",0.354,0.952,-1.344,2.111,0.017,0.022,3327.906,1514.419,1.0
"eta_inducing_raw[12, 1]",-0.207,0.972,-2.001,1.603,0.018,0.021,2881.439,1734.235,1.002
"eta_inducing_raw[13, 0]",0.498,0.991,-1.445,2.285,0.016,0.023,3623.999,1505.91,1.0
