,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_weight[27, 10]",0.207,0.17,0.002,0.512,0.005,0.005,1051.79,935.373,1.003
"K_uu_weight[27, 11]",0.244,0.19,0.003,0.59,0.005,0.006,1067.482,961.65,1.003
"K_uu_weight[27, 12]",0.285,0.211,0.011,0.679,0.006,0.006,1089.916,954.04,1.003
"K_uu_weight[27, 13]",0.331,0.232,0.027,0.774,0.006,0.007,1129.238,958.107,1.003
"K_uu_weight[27, 14]",0.381,0.254,0.04,0.868,0.007,0.007,1195.6,1031.076,1.003
"K_uu_weight[27, 15]",0.435,0.275,0.056,0.966,0.007,0.008,1267.076,1031.21,1.003
"K_uu_weight[27, 16]",0.493,0.296,0.08,1.067,0.008,0.009,1360.919,1056.67,1.002
"K_uu_weight[27, 17]",0.552,0.317,0.103,1.17,0.008,0.009,1398.094,1050.131,1.002
"K_uu_weight[27, 18]",0.613,0.337,0.139,1.277,0.009,0.01,1433.65,1376.251,1.003
"K_uu_weight[27, 19]",0.675,0.357,0.157,1.367,0.009,0.01,1471.31,1510.315,1.002
"K_uu_weight[27, 20]",0.734,0.375,0.181,1.457,0.009,0.011,1507.479,1472.286,1.002
"K_uu_weight[27, 21]",0.791,0.393,0.244,1.577,0.01,0.011,1535.507,1564.947,1.002
"K_uu_weight[27, 22]",0.843,0.409,0.263,1.639,0.01,0.011,1545.585,1601.327,1.002
"K_uu_weight[27, 23]",0.889,0.423,0.274,1.696,0.01,0.012,1527.299,1630.263,1.001
"K_uu_weight[27, 24]",0.926,0.434,0.311,1.772,0.011,0.012,1511.794,1637.989,1.001
"K_uu_weight[27, 25]",0.954,0.443,0.325,1.812,0.011,0.012,1516.778,1582.253,1.001
"K_uu_weight[27, 26]",0.971,0.448,0.333,1.841,0.011,0.012,1504.277,1582.253,1.001
"K_uu_weight[27, 27]",0.977,0.45,0.336,1.851,0.011,0.012,1502.823,1556.212,1.001
"K_uu_weight[27, 28]",0.971,0.448,0.333,1.841,0.011,0.012,1504.277,1582.253,1.001
"K_uu_weight[27, 29]",0.954,0.443,0.325,1.812,0.011,0.012,1516.778,1582.253,1.001
"K_uu_weight[27, 30]",0.926,0.434,0.311,1.772,0.011,0.012,1511.794,1637.989,1.001
"K_uu_weight[27, 31]",0.889,0.423,0.274,1.696,0.01,0.012,1527.299,1630.263,1.001
"K_uu_weight[27, 32]",0.843,0.409,0.263,1.639,0.01,0.011,1545.585,1601.327,1.002
"K_uu_weight[27, 33]",0.791,0.393,0.244,1.577,0.01,0.011,1535.507,1564.947,1.002
"K_uu_weight[27, 34]",0.734,0.375,0.181,1.457,0.009,0.011,1507.479,1472.286,1.002
"K_uu_weight[27, 35]",0.675,0.357,0.157,1.367,0.009,0.01,1471.31,1510.315,1.002
"K_uu_weight[27, 36]",0.613,0.337,0.139,1.277,0.009,0.01,1433.65,1376.251,1.003
