,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.977,0.214,0.601,1.366,0.006,0.005,1115.723,1343.662,1.002
rho_weight,0.193,0.033,0.133,0.258,0.001,0.001,829.705,965.58,1.001
alpha_workout,0.357,0.149,0.142,0.625,0.005,0.005,842.164,937.917,1.0
rho_workout,1.32,0.74,0.345,2.665,0.036,0.038,474.171,675.738,1.007
beta,-0.27,0.813,-1.78,1.178,0.019,0.017,1768.436,1415.363,1.002
sigma_weight,0.377,0.026,0.324,0.423,0.001,0.001,1913.866,1360.495,1.002
sigma_workout,0.01,0.0,0.01,0.011,0.0,0.0,2383.686,1077.9,1.001
nu_weight,24.773,14.259,5.11,50.567,0.316,0.43,1788.057,1541.097,0.999
nu_workout,1.038,0.036,1.0,1.101,0.001,0.001,1714.353,848.983,1.002
"eta_inducing_raw[0, 0]",-1.666,0.484,-2.608,-0.817,0.013,0.011,1515.526,1374.455,1.001
"eta_inducing_raw[0, 1]",-1.316,0.486,-2.227,-0.479,0.017,0.014,841.47,956.97,1.0
"eta_inducing_raw[1, 0]",-0.59,0.796,-2.009,0.893,0.021,0.019,1497.062,1429.704,1.003
"eta_inducing_raw[1, 1]",-0.022,0.639,-1.124,1.269,0.017,0.015,1348.264,1262.832,1.003
"eta_inducing_raw[2, 0]",-0.696,0.948,-2.509,1.085,0.02,0.025,2207.121,1265.868,1.007
"eta_inducing_raw[2, 1]",-0.031,0.89,-1.607,1.669,0.022,0.019,1699.321,1464.471,1.003
"eta_inducing_raw[3, 0]",-0.796,0.908,-2.422,0.938,0.018,0.021,2547.751,1263.063,1.001
"eta_inducing_raw[3, 1]",-0.106,0.977,-1.947,1.659,0.021,0.023,2235.795,1444.402,1.008
"eta_inducing_raw[4, 0]",-0.64,0.924,-2.376,1.046,0.019,0.022,2326.622,1419.327,1.001
"eta_inducing_raw[4, 1]",-0.088,0.998,-1.922,1.82,0.024,0.028,1819.075,1309.429,1.004
"eta_inducing_raw[5, 0]",-0.571,0.965,-2.303,1.376,0.02,0.024,2313.783,1404.22,1.001
"eta_inducing_raw[5, 1]",-0.132,0.95,-2.06,1.536,0.018,0.02,2983.94,1490.88,1.001
"eta_inducing_raw[6, 0]",-0.407,0.954,-2.222,1.371,0.019,0.021,2489.087,1591.081,1.0
"eta_inducing_raw[6, 1]",-0.161,0.942,-1.941,1.6,0.019,0.019,2562.762,1506.258,1.002
"eta_inducing_raw[7, 0]",-0.273,0.953,-2.026,1.547,0.02,0.021,2278.574,1398.255,1.002
"eta_inducing_raw[7, 1]",-0.189,0.977,-2.022,1.688,0.022,0.022,2055.544,1314.872,1.001
"eta_inducing_raw[8, 0]",-0.106,0.933,-1.893,1.636,0.018,0.02,2701.468,1646.778,1.008
"eta_inducing_raw[8, 1]",-0.186,0.974,-1.814,1.78,0.019,0.022,2554.588,1331.737,1.002
"eta_inducing_raw[9, 0]",0.023,0.957,-1.695,1.865,0.02,0.022,2320.151,1430.653,1.001
"eta_inducing_raw[9, 1]",-0.193,0.972,-2.128,1.57,0.019,0.022,2567.012,1259.827,1.002
"eta_inducing_raw[10, 0]",0.186,0.969,-1.737,1.882,0.021,0.02,2142.236,1571.79,1.001
"eta_inducing_raw[10, 1]",-0.196,0.985,-2.09,1.625,0.02,0.023,2561.5,1398.823,1.0
"eta_inducing_raw[11, 0]",0.302,0.967,-1.561,2.029,0.019,0.026,2604.21,1595.979,1.0
"eta_inducing_raw[11, 1]",-0.224,0.981,-2.097,1.599,0.019,0.023,2558.163,1313.887,1.002
"eta_inducing_raw[12, 0]",0.418,0.984,-1.279,2.382,0.019,0.022,2635.872,1418.261,1.0
