,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.97,0.217,0.601,1.385,0.005,0.005,1593.884,1407.885,1.001
rho_weight,0.193,0.032,0.134,0.251,0.001,0.001,1127.815,933.13,1.001
alpha_workout,0.353,0.146,0.147,0.623,0.004,0.007,1443.771,1270.043,1.001
rho_workout,1.343,0.773,0.376,2.834,0.036,0.038,510.566,717.048,1.01
beta,0.285,0.83,-1.283,1.789,0.019,0.017,1986.577,1382.506,1.001
sigma_weight,0.378,0.026,0.333,0.43,0.0,0.001,2735.925,1505.817,1.002
sigma_workout,0.01,0.0,0.01,0.011,0.0,0.0,2841.283,1225.023,1.0
nu_weight,25.025,14.055,4.616,49.469,0.252,0.377,3327.138,1619.165,0.999
nu_workout,1.039,0.039,1.0,1.113,0.001,0.001,2308.094,1038.804,1.002
"eta_inducing_raw[0, 0]",-1.553,0.548,-2.641,-0.625,0.013,0.012,1899.423,1365.233,1.0
"eta_inducing_raw[0, 1]",-1.33,0.489,-2.204,-0.498,0.013,0.01,1446.549,1269.127,1.001
"eta_inducing_raw[1, 0]",-0.499,0.729,-2.026,0.753,0.017,0.016,1949.586,1280.907,1.002
"eta_inducing_raw[1, 1]",-0.034,0.664,-1.332,1.19,0.015,0.018,2068.409,1336.119,1.0
"eta_inducing_raw[2, 0]",-0.585,0.94,-2.34,1.192,0.018,0.023,2635.332,1380.061,1.001
"eta_inducing_raw[2, 1]",-0.044,0.898,-1.744,1.625,0.018,0.022,2468.047,1414.913,1.001
"eta_inducing_raw[3, 0]",-0.713,0.923,-2.52,0.987,0.017,0.022,3059.232,1591.027,1.003
"eta_inducing_raw[3, 1]",-0.069,0.966,-1.892,1.75,0.017,0.023,3144.242,1495.261,1.001
"eta_inducing_raw[4, 0]",-0.612,0.913,-2.224,1.284,0.015,0.024,3807.989,1439.875,1.0
"eta_inducing_raw[4, 1]",-0.085,0.992,-1.923,1.81,0.016,0.026,3761.715,1293.937,1.0
"eta_inducing_raw[5, 0]",-0.474,0.958,-2.216,1.292,0.016,0.027,3575.55,1441.182,0.999
"eta_inducing_raw[5, 1]",-0.125,0.973,-1.918,1.706,0.015,0.024,3971.806,1413.539,1.002
"eta_inducing_raw[6, 0]",-0.405,0.936,-2.084,1.46,0.017,0.022,3148.428,1401.552,1.005
"eta_inducing_raw[6, 1]",-0.143,1.009,-1.91,1.856,0.016,0.024,4189.354,1595.992,1.002
"eta_inducing_raw[7, 0]",-0.229,0.916,-1.991,1.452,0.018,0.025,2626.734,1304.079,1.003
"eta_inducing_raw[7, 1]",-0.195,0.96,-1.999,1.605,0.017,0.026,3221.884,1291.638,1.003
"eta_inducing_raw[8, 0]",-0.077,0.974,-1.821,1.745,0.015,0.024,4108.562,1695.69,1.0
"eta_inducing_raw[8, 1]",-0.182,0.964,-2.012,1.619,0.016,0.025,3496.04,1318.636,1.003
"eta_inducing_raw[9, 0]",0.066,0.956,-1.619,1.955,0.016,0.025,3408.665,1364.596,1.004
"eta_inducing_raw[9, 1]",-0.219,0.931,-1.995,1.469,0.015,0.026,3954.327,1569.019,1.001
"eta_inducing_raw[10, 0]",0.24,0.947,-1.643,1.955,0.019,0.023,2504.397,1426.097,1.003
"eta_inducing_raw[10, 1]",-0.184,0.975,-1.935,1.732,0.016,0.024,3644.413,1545.694,1.001
"eta_inducing_raw[11, 0]",0.372,1.001,-1.43,2.313,0.015,0.026,4381.49,1449.243,1.0
