variable,lag_window,lag_step,lag_days_list,beta_mean,beta_std,beta_ci_low,beta_ci_high,beta_orig_mean,beta_orig_std,beta_orig_ci_low,beta_orig_ci_high,waic,loo,n_eff_beta,rhat_beta,n_weight_obs,n_workout_obs
strength_training,7,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]",-0.159992116724,0.9921136587916529,-2.1273299999999997,1.8268542499999996,-3.0019701085697523,18.61526435789412,-39.91559835463891,34.27770044866809,,,,,147,136
walking,7,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]",-0.242599727443,0.9013402576594036,-2.0465222499999998,1.565387499999997,-2.80990357107827,10.439744658611916,-23.703778397348987,18.131050569315853,,,,,147,83
cycling,7,1.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]",-0.257404800295,0.8424906245098389,-1.9478002499999998,1.3847984999999998,-1.6646945514005493,5.448575747694857,-12.596860896438423,8.955802359146727,,,,,147,52
