,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.966,0.213,0.602,1.37,0.005,0.005,1637.047,1423.879,1.001
rho_weight,0.193,0.031,0.13,0.246,0.001,0.001,1099.805,1346.594,1.002
alpha_workout,0.24,0.112,0.095,0.471,0.004,0.004,829.874,979.294,1.004
rho_workout,1.641,0.871,0.495,3.452,0.043,0.033,468.983,723.132,1.005
beta,-0.199,0.934,-1.948,1.473,0.018,0.022,2836.159,1331.593,1.004
sigma_weight,0.378,0.026,0.332,0.429,0.0,0.001,2823.816,1298.457,1.001
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,1896.89,932.806,1.0
nu_weight,25.291,14.144,5.643,50.563,0.26,0.427,2907.435,1597.829,1.0
nu_workout,1.09,0.081,1.0,1.231,0.001,0.002,2089.1,864.654,1.0
"eta_inducing_raw[0, 0]",-1.699,0.501,-2.655,-0.817,0.011,0.01,2206.753,1594.608,1.004
"eta_inducing_raw[0, 1]",-1.254,0.502,-2.122,-0.374,0.017,0.011,828.675,1074.21,1.004
"eta_inducing_raw[1, 0]",-0.573,0.779,-2.094,0.802,0.015,0.019,2636.632,1445.912,1.001
"eta_inducing_raw[1, 1]",-0.072,0.757,-1.485,1.408,0.016,0.018,2137.428,1306.638,1.001
"eta_inducing_raw[2, 0]",-0.632,0.927,-2.238,1.269,0.016,0.023,3445.635,1464.401,1.005
"eta_inducing_raw[2, 1]",-0.02,0.877,-1.672,1.578,0.017,0.021,2571.784,1456.848,1.002
"eta_inducing_raw[3, 0]",-0.781,0.917,-2.49,0.992,0.016,0.022,3277.386,1857.93,1.001
"eta_inducing_raw[3, 1]",-0.008,0.986,-1.813,2.009,0.016,0.027,3684.998,1353.267,1.006
"eta_inducing_raw[4, 0]",-0.663,0.897,-2.272,1.085,0.017,0.022,2833.344,1242.767,1.007
"eta_inducing_raw[4, 1]",-0.087,0.99,-2.072,1.711,0.016,0.026,4074.237,1445.443,1.0
"eta_inducing_raw[5, 0]",-0.532,0.959,-2.378,1.206,0.016,0.022,3557.721,1690.545,1.012
"eta_inducing_raw[5, 1]",-0.052,1.036,-1.928,1.982,0.018,0.032,3108.63,1156.75,1.003
"eta_inducing_raw[6, 0]",-0.402,0.956,-2.094,1.453,0.017,0.022,3244.934,1391.429,1.0
"eta_inducing_raw[6, 1]",-0.094,0.997,-1.854,1.781,0.015,0.023,4194.499,1470.541,1.001
"eta_inducing_raw[7, 0]",-0.279,0.957,-1.971,1.498,0.017,0.02,3031.399,1779.814,1.001
"eta_inducing_raw[7, 1]",-0.139,1.015,-2.097,1.78,0.018,0.027,3320.786,1169.749,1.004
"eta_inducing_raw[8, 0]",-0.117,0.987,-1.833,1.883,0.018,0.026,2929.171,1360.603,1.001
"eta_inducing_raw[8, 1]",-0.116,0.93,-1.925,1.561,0.017,0.023,2823.861,1396.717,1.001
"eta_inducing_raw[9, 0]",0.054,0.955,-1.889,1.836,0.018,0.024,2736.595,1547.701,1.001
"eta_inducing_raw[9, 1]",-0.131,1.012,-2.084,1.66,0.017,0.029,3508.282,1057.884,1.0
"eta_inducing_raw[10, 0]",0.192,1.008,-1.611,2.194,0.016,0.024,4082.0,1510.783,1.009
"eta_inducing_raw[10, 1]",-0.177,0.985,-2.027,1.635,0.018,0.024,2985.478,1630.308,1.0
"eta_inducing_raw[11, 0]",0.311,0.927,-1.336,2.103,0.018,0.022,2528.019,1081.52,1.001
"eta_inducing_raw[11, 1]",-0.148,0.956,-1.94,1.673,0.017,0.026,3082.04,1358.385,1.009
"eta_inducing_raw[12, 0]",0.444,0.942,-1.3,2.212,0.015,0.022,3965.205,1613.061,0.999
"eta_inducing_raw[12, 1]",-0.145,1.02,-2.152,1.635,0.019,0.025,2864.22,1256.967,1.007
"eta_inducing_raw[13, 0]",0.446,0.961,-1.356,2.205,0.018,0.022,2914.438,1511.317,1.003
"eta_inducing_raw[13, 1]",-0.191,0.954,-2.056,1.511,0.015,0.025,3837.385,1538.714,1.004
"eta_inducing_raw[14, 0]",0.488,0.94,-1.38,2.185,0.016,0.026,3303.66,1614.042,1.0
"eta_inducing_raw[14, 1]",-0.189,0.938,-1.86,1.566,0.016,0.024,3535.167,1545.321,1.0
"eta_inducing_raw[15, 0]",0.514,0.949,-1.406,2.175,0.018,0.023,2674.843,1272.867,1.0
"eta_inducing_raw[15, 1]",-0.174,1.009,-2.223,1.622,0.017,0.031,3357.242,1067.336,1.005
"eta_inducing_raw[16, 0]",0.475,0.957,-1.41,2.115,0.017,0.022,3003.282,1376.24,1.003
"eta_inducing_raw[16, 1]",-0.184,0.99,-1.923,1.748,0.018,0.025,3230.69,1507.223,1.001
"eta_inducing_raw[17, 0]",0.448,0.937,-1.305,2.13,0.017,0.02,3211.043,1465.302,1.003
"eta_inducing_raw[17, 1]",-0.195,1.0,-1.957,1.783,0.02,0.025,2507.678,1146.936,1.003
"eta_inducing_raw[18, 0]",0.39,0.964,-1.532,2.092,0.016,0.024,3630.43,1401.704,0.999
"eta_inducing_raw[18, 1]",-0.188,0.982,-2.052,1.595,0.015,0.021,4261.691,1569.503,1.0
"eta_inducing_raw[19, 0]",0.348,0.968,-1.502,2.157,0.021,0.025,2207.548,1391.223,1.0
"eta_inducing_raw[19, 1]",-0.182,1.001,-2.261,1.548,0.018,0.032,3092.507,1108.64,1.002
"eta_inducing_raw[20, 0]",0.266,0.943,-1.49,2.06,0.015,0.023,3897.393,1488.871,1.003
"eta_inducing_raw[20, 1]",-0.149,0.949,-1.986,1.561,0.018,0.029,2706.43,1221.209,1.01
"eta_inducing_raw[21, 0]",0.204,0.92,-1.47,1.887,0.018,0.02,2677.313,1539.289,1.002
"eta_inducing_raw[21, 1]",-0.189,0.976,-1.923,1.733,0.016,0.026,3876.178,924.969,1.007
"eta_inducing_raw[22, 0]",0.13,0.993,-1.559,2.195,0.017,0.026,3392.014,1419.366,1.002
"eta_inducing_raw[22, 1]",-0.134,0.985,-1.801,1.832,0.016,0.025,3703.982,1419.45,1.003
"eta_inducing_raw[23, 0]",0.08,1.031,-1.89,2.032,0.02,0.03,2579.325,1159.856,1.0
"eta_inducing_raw[23, 1]",-0.128,0.977,-1.931,1.728,0.016,0.025,3758.4,1416.41,1.003
"eta_inducing_raw[24, 0]",-0.008,0.983,-1.853,1.791,0.016,0.024,3605.933,1588.617,1.003
"eta_inducing_raw[24, 1]",-0.152,0.939,-1.984,1.542,0.015,0.027,4015.79,1405.907,1.001
"eta_inducing_raw[25, 0]",-0.078,0.942,-1.841,1.646,0.018,0.023,2804.495,1496.49,1.001
"eta_inducing_raw[25, 1]",-0.141,0.981,-2.03,1.715,0.018,0.026,3018.634,1279.314,1.0
"eta_inducing_raw[26, 0]",-0.139,0.938,-1.976,1.591,0.017,0.024,3192.958,1267.13,1.001
"eta_inducing_raw[26, 1]",-0.136,0.948,-1.956,1.588,0.017,0.024,3201.177,1296.384,1.0
"eta_inducing_raw[27, 0]",-0.156,0.918,-1.861,1.589,0.017,0.021,2809.387,1654.501,1.002
"eta_inducing_raw[27, 1]",-0.134,0.996,-1.954,1.773,0.018,0.025,3208.623,1432.889,0.999
"eta_inducing_raw[28, 0]",-0.179,0.915,-2.067,1.387,0.016,0.02,3262.104,1518.824,1.001
"eta_inducing_raw[28, 1]",-0.113,1.024,-2.045,1.753,0.019,0.027,2795.396,1268.65,1.006
