,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.981,0.216,0.611,1.402,0.005,0.004,1743.473,1272.964,1.0
rho_weight,0.194,0.031,0.133,0.25,0.001,0.001,1020.302,1212.342,1.0
alpha_workout,0.358,0.154,0.137,0.623,0.005,0.009,1088.832,671.972,1.002
rho_workout,1.349,0.748,0.39,2.846,0.035,0.03,441.252,862.472,1.012
beta,-0.272,0.803,-1.776,1.139,0.014,0.028,3265.656,995.819,1.004
sigma_weight,0.378,0.026,0.333,0.43,0.001,0.001,2739.506,1394.667,1.003
sigma_workout,0.01,0.0,0.01,0.011,0.0,0.0,2108.791,1038.7,1.002
nu_weight,24.972,14.158,4.888,49.366,0.286,0.469,2602.331,1353.631,1.001
nu_workout,1.039,0.037,1.0,1.107,0.001,0.001,2774.428,1172.971,1.0
"eta_inducing_raw[0, 0]",-1.68,0.487,-2.584,-0.777,0.011,0.009,1931.646,1293.687,1.002
"eta_inducing_raw[0, 1]",-1.322,0.499,-2.234,-0.445,0.014,0.013,1090.884,683.99,1.0
"eta_inducing_raw[1, 0]",-0.612,0.794,-2.208,0.859,0.016,0.022,2453.47,1180.688,1.008
"eta_inducing_raw[1, 1]",-0.041,0.65,-1.241,1.174,0.014,0.018,2180.954,1539.643,1.001
"eta_inducing_raw[2, 0]",-0.662,0.959,-2.343,1.144,0.016,0.024,3765.16,1179.989,1.0
"eta_inducing_raw[2, 1]",-0.06,0.856,-1.63,1.541,0.017,0.023,2638.011,1172.167,1.002
"eta_inducing_raw[3, 0]",-0.783,0.934,-2.577,0.917,0.018,0.024,2834.249,1120.085,1.003
"eta_inducing_raw[3, 1]",-0.064,0.942,-1.784,1.745,0.019,0.023,2505.041,1350.267,1.002
"eta_inducing_raw[4, 0]",-0.637,0.894,-2.245,1.04,0.016,0.022,3333.695,1333.297,1.002
"eta_inducing_raw[4, 1]",-0.071,0.967,-1.992,1.642,0.016,0.025,3456.078,1526.787,1.003
"eta_inducing_raw[5, 0]",-0.556,0.932,-2.234,1.177,0.018,0.026,2820.624,1289.889,1.003
"eta_inducing_raw[5, 1]",-0.097,1.008,-1.918,1.834,0.019,0.022,2893.345,1739.669,1.001
"eta_inducing_raw[6, 0]",-0.411,0.963,-2.262,1.342,0.016,0.023,3488.988,1326.465,1.003
"eta_inducing_raw[6, 1]",-0.152,0.961,-1.843,1.785,0.018,0.024,2901.948,1443.541,1.001
"eta_inducing_raw[7, 0]",-0.269,0.954,-2.024,1.437,0.016,0.023,3607.093,1618.816,0.999
"eta_inducing_raw[7, 1]",-0.136,1.03,-2.046,1.922,0.019,0.03,2835.787,1158.123,1.004
"eta_inducing_raw[8, 0]",-0.103,0.955,-1.964,1.642,0.015,0.023,3901.163,1667.529,1.001
"eta_inducing_raw[8, 1]",-0.176,0.925,-1.892,1.645,0.017,0.023,3128.055,1140.332,1.001
"eta_inducing_raw[9, 0]",0.026,0.975,-1.788,1.845,0.018,0.024,2974.632,1508.889,0.999
"eta_inducing_raw[9, 1]",-0.197,0.953,-1.9,1.662,0.017,0.025,3251.822,1339.687,1.001
"eta_inducing_raw[10, 0]",0.179,0.986,-1.81,1.872,0.017,0.026,3189.274,1387.904,1.001
"eta_inducing_raw[10, 1]",-0.185,0.987,-2.081,1.693,0.018,0.026,2998.875,1186.938,1.006
"eta_inducing_raw[11, 0]",0.326,0.962,-1.445,2.118,0.017,0.023,3252.807,1533.943,1.006
