,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_workout[36, 21]",0.07,0.079,0.006,0.197,0.004,0.011,932.745,664.361,1.004
"K_uu_workout[36, 22]",0.07,0.079,0.007,0.197,0.004,0.011,926.498,664.361,1.004
"K_uu_workout[36, 23]",0.07,0.08,0.007,0.199,0.004,0.011,920.361,664.361,1.004
"K_uu_workout[36, 24]",0.071,0.08,0.007,0.201,0.004,0.011,912.836,659.925,1.004
"K_uu_workout[36, 25]",0.071,0.08,0.007,0.201,0.004,0.011,907.633,664.121,1.004
"K_uu_workout[36, 26]",0.071,0.08,0.007,0.201,0.004,0.011,903.076,664.121,1.004
"K_uu_workout[36, 27]",0.071,0.08,0.007,0.201,0.004,0.011,899.245,664.121,1.004
"K_uu_workout[36, 28]",0.071,0.08,0.007,0.202,0.004,0.011,894.308,664.121,1.004
"K_uu_workout[36, 29]",0.072,0.081,0.007,0.202,0.004,0.011,888.702,664.121,1.004
"K_uu_workout[36, 30]",0.072,0.081,0.007,0.202,0.004,0.011,886.42,664.121,1.004
"K_uu_workout[36, 31]",0.072,0.081,0.007,0.202,0.004,0.011,883.685,664.121,1.004
"K_uu_workout[36, 32]",0.072,0.081,0.007,0.202,0.004,0.011,881.91,668.391,1.004
"K_uu_workout[36, 33]",0.072,0.081,0.007,0.203,0.004,0.011,879.548,668.391,1.004
"K_uu_workout[36, 34]",0.072,0.081,0.007,0.203,0.004,0.011,878.076,668.391,1.004
"K_uu_workout[36, 35]",0.072,0.081,0.007,0.203,0.004,0.011,873.541,668.391,1.004
"K_uu_workout[36, 36]",0.072,0.081,0.007,0.203,0.004,0.011,873.401,668.391,1.004
"K_uu_workout[36, 37]",0.072,0.081,0.007,0.203,0.004,0.011,873.541,668.391,1.004
"K_uu_workout[36, 38]",0.072,0.081,0.007,0.203,0.004,0.011,878.076,668.391,1.004
"K_uu_workout[36, 39]",0.072,0.081,0.007,0.203,0.004,0.011,879.548,668.391,1.004
"K_uu_workout[36, 40]",0.072,0.081,0.007,0.202,0.004,0.011,881.91,668.391,1.004
"K_uu_workout[36, 41]",0.072,0.081,0.007,0.202,0.004,0.011,883.685,664.121,1.004
