,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"K_uu_workout[37, 45]",0.148,0.141,0.015,0.395,0.004,0.009,865.535,1036.573,1.005
"K_uu_workout[37, 46]",0.148,0.141,0.015,0.394,0.004,0.009,863.987,1025.23,1.005
"K_uu_workout[37, 47]",0.147,0.141,0.015,0.392,0.004,0.009,865.379,1046.093,1.005
"K_uu_workout[37, 48]",0.147,0.14,0.015,0.39,0.004,0.009,866.538,1046.093,1.005
"K_uu_workout[37, 49]",0.146,0.14,0.015,0.388,0.004,0.009,872.122,1046.093,1.005
"K_uu_workout[38, 0]",0.117,0.125,0.002,0.326,0.004,0.009,853.948,951.555,1.006
"K_uu_workout[38, 1]",0.118,0.125,0.002,0.33,0.004,0.009,860.616,941.264,1.006
"K_uu_workout[38, 2]",0.12,0.126,0.003,0.334,0.004,0.009,862.826,932.122,1.006
"K_uu_workout[38, 3]",0.121,0.127,0.004,0.335,0.004,0.009,871.621,932.122,1.006
"K_uu_workout[38, 4]",0.123,0.127,0.004,0.339,0.004,0.009,866.233,932.122,1.006
"K_uu_workout[38, 5]",0.124,0.128,0.005,0.342,0.004,0.009,866.184,905.55,1.006
"K_uu_workout[38, 6]",0.125,0.129,0.006,0.344,0.004,0.009,870.275,932.169,1.006
"K_uu_workout[38, 7]",0.126,0.129,0.006,0.345,0.004,0.009,870.303,940.351,1.006
"K_uu_workout[38, 8]",0.128,0.13,0.006,0.348,0.004,0.009,872.01,956.85,1.005
"K_uu_workout[38, 9]",0.129,0.131,0.007,0.352,0.004,0.009,871.036,988.276,1.005
"K_uu_workout[38, 10]",0.13,0.131,0.008,0.353,0.004,0.009,873.103,988.949,1.005
"K_uu_workout[38, 11]",0.132,0.132,0.008,0.353,0.004,0.009,878.716,988.949,1.005
"K_uu_workout[38, 12]",0.133,0.133,0.009,0.355,0.004,0.009,876.465,977.757,1.005
"K_uu_workout[38, 13]",0.134,0.133,0.01,0.356,0.004,0.009,871.372,1002.539,1.005
"K_uu_workout[38, 14]",0.135,0.134,0.014,0.365,0.004,0.009,871.947,1098.725,1.005
"K_uu_workout[38, 15]",0.136,0.134,0.014,0.367,0.004,0.009,870.684,1166.065,1.005
"K_uu_workout[38, 16]",0.137,0.135,0.012,0.367,0.004,0.009,868.407,1166.065,1.005
"K_uu_workout[38, 17]",0.138,0.136,0.013,0.369,0.004,0.009,873.35,1166.065,1.005
"K_uu_workout[38, 18]",0.139,0.136,0.014,0.372,0.004,0.009,879.205,1166.065,1.005
"K_uu_workout[38, 19]",0.14,0.137,0.014,0.374,0.004,0.009,878.466,1213.543,1.005
"K_uu_workout[38, 20]",0.141,0.137,0.014,0.377,0.004,0.009,877.297,1183.345,1.005
"K_uu_workout[38, 21]",0.142,0.138,0.014,0.379,0.004,0.009,870.283,1183.78,1.005
"K_uu_workout[38, 22]",0.143,0.138,0.015,0.382,0.004,0.009,871.33,1095.46,1.005
"K_uu_workout[38, 23]",0.144,0.139,0.014,0.382,0.004,0.009,870.988,1080.592,1.005
"K_uu_workout[38, 24]",0.145,0.139,0.015,0.386,0.004,0.009,873.77,1081.783,1.005
"K_uu_workout[38, 25]",0.146,0.139,0.015,0.386,0.004,0.009,874.233,1045.947,1.005
"K_uu_workout[38, 26]",0.146,0.14,0.015,0.388,0.004,0.009,872.122,1046.093,1.005
"K_uu_workout[38, 27]",0.147,0.14,0.015,0.39,0.004,0.009,866.538,1046.093,1.005
"K_uu_workout[38, 28]",0.147,0.141,0.015,0.392,0.004,0.009,865.379,1046.093,1.005
"K_uu_workout[38, 29]",0.148,0.141,0.015,0.394,0.004,0.009,863.987,1025.23,1.005
"K_uu_workout[38, 30]",0.148,0.141,0.015,0.395,0.004,0.009,865.535,1036.573,1.005
"K_uu_workout[38, 31]",0.149,0.141,0.015,0.397,0.004,0.009,868.771,1042.365,1.005
"K_uu_workout[38, 32]",0.149,0.142,0.016,0.398,0.004,0.009,869.196,1042.365,1.005
