beta
-0.483145
0.494551
-0.11427
0.979066
1.48757
0.653805
-0.0809498
-0.527956
0.405348
-0.136275
0.118637
0.467449
0.0168202
0.860443
-0.862839
1.0561
-0.66774
0.52295
0.411875
0.376956
0.0124042
0.118545
0.255361
1.10248
0.131462
-0.0212209
0.984228
0.598994
-0.900055
0.393063
-0.92357
0.486258
0.408652
0.879599
1.48516
-0.921955
-0.0408907
0.465641
0.507045
1.45237
0.358594
0.0773066
0.0948721
0.463986
0.52535
0.275403
0.511519
-0.228729
0.0145906
0.482941
-0.315806
1.00948
0.167523
0.0187881
0.419948
-0.44735
-1.72452
1.47487
1.04086
-0.263004
0.959838
-0.687604
0.538523
0.763725
-0.779677
0.0476743
1.17795
0.896782
-1.57078
0.266878
0.942684
0.915256
0.936736
1.75101
0.2321
-0.268709
-0.233287
-0.4366
0.324958
0.0569377
0.50131
-0.225301
0.137137
0.371425
-0.165718
-0.517477
0.942479
-1.04415
0.879779
0.352647
-0.210852
0.369308
-0.56773
0.776431
0.711979
-0.442921
0.922331
-0.942165
1.39859
0.620574
-0.292464
0.762698
-0.388218
1.20947
0.309405
-1.54746
1.26664
-1.20676
1.78903
1.55355
-1.14501
1.26933
-0.518805
0.240487
-0.496924
0.0106436
0.729381
1.14749
-0.778211
-0.0877612
-0.103698
0.806875
-0.525855
2.44159
-1.44811
0.550083
-0.068394
-0.57914
-0.209895
1.83691
1.35826
0.824613
-2.06819
1.79969
-0.462247
0.0872416
-1.42109
-1.05707
0.915124
-0.332765
0.312514
-0.488643
1.44635
-0.509767
1.22793
-1.58197
1.64646
-0.490746
0.323721
-0.124439
0.61551
-0.789788
0.543076
0.505367
-0.979246
1.34348
0.473522
-0.460369
-0.986854
1.80641
-0.803833
-0.441174
-0.811043
0.00158938
1.06171
0.0484589
0.574335
0.204002
-0.150204
0.24926
0.178667
1.76954
-1.61185
-0.881999
1.2172
-0.217831
1.35701
-0.275525
0.341249
0.04342
-0.655584
0.411555
-0.573505
-0.428262
-1.48069
2.525
-1.75539
-1.85859
2.43137
-1.62253
1.68294
-1.26497
0.786858
-0.896176
0.940214
1.91032
-0.217021
-0.0429269
0.143797
0.876253
-1.07129
1.14149
-0.146828
-0.788926
1.74214
-1.5402
0.728917
-0.392801
0.987185
1.08943
-0.952545
0.699689
-0.609971
-0.663632
0.302697
-0.118013
-0.132197
0.165236
-0.459349
-0.305518
-0.484484
-0.595297
0.50288
-0.277144
-0.0753617
0.561753
-0.431723
0.787058
-0.0841924
0.338432
0.135488
0.794128
-0.890216
1.31859
-0.972508
1.17821
-0.694924
1.1486
0.308286
0.421201
0.59597
-0.0878826
0.434544
-0.954309
2.42695
-1.47999
