,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_weight,0.969,0.222,0.594,1.385,0.005,0.006,1758.601,1441.236,1.005
rho_weight,0.191,0.032,0.13,0.252,0.001,0.001,1273.142,1468.869,1.004
alpha_workout,0.25,0.132,0.085,0.504,0.013,0.021,245.489,65.031,1.021
rho_workout,1.686,0.87,0.466,3.418,0.055,0.029,262.802,954.604,1.018
beta,0.216,0.976,-1.481,2.139,0.042,0.031,554.951,224.563,1.009
sigma_weight,0.376,0.027,0.324,0.423,0.001,0.001,2662.505,1462.297,1.0
sigma_workout,0.01,0.0,0.01,0.01,0.0,0.0,1319.905,1136.107,1.003
nu_weight,24.662,14.393,5.473,51.753,0.301,0.389,2195.442,1503.551,1.001
nu_workout,1.088,0.082,1.0,1.24,0.002,0.002,1192.307,915.917,1.002
"eta_inducing_raw[0, 0]",-1.624,0.525,-2.573,-0.62,0.013,0.012,1628.032,1161.465,1.004
"eta_inducing_raw[0, 1]",-1.236,0.516,-2.104,-0.345,0.025,0.015,252.75,64.747,1.021
"eta_inducing_raw[1, 0]",-0.529,0.707,-1.791,0.915,0.019,0.016,1428.051,1395.988,1.003
"eta_inducing_raw[1, 1]",-0.082,0.76,-1.455,1.449,0.016,0.022,2370.754,983.62,1.009
"eta_inducing_raw[2, 0]",-0.559,0.986,-2.271,1.334,0.047,0.036,478.299,100.286,1.007
"eta_inducing_raw[2, 1]",-0.018,0.833,-1.589,1.497,0.017,0.019,2400.793,1482.87,1.002
"eta_inducing_raw[3, 0]",-0.743,0.897,-2.384,0.981,0.015,0.024,3730.872,1682.844,1.009
"eta_inducing_raw[3, 1]",-0.009,0.972,-1.803,1.73,0.018,0.026,2830.987,1410.157,1.0
"eta_inducing_raw[4, 0]",-0.692,0.999,-2.514,1.183,0.038,0.029,744.263,1228.804,1.005
"eta_inducing_raw[4, 1]",-0.083,0.983,-1.838,1.791,0.032,0.028,978.116,720.43,1.003
"eta_inducing_raw[5, 0]",-0.513,0.957,-2.286,1.269,0.017,0.025,3078.739,1410.489,1.006
"eta_inducing_raw[5, 1]",-0.033,0.948,-1.782,1.787,0.033,0.023,843.895,1303.513,1.008
"eta_inducing_raw[6, 0]",-0.366,0.992,-2.209,1.37,0.037,0.027,727.754,766.216,1.013
"eta_inducing_raw[6, 1]",-0.1,0.989,-1.998,1.681,0.024,0.024,1665.145,1351.066,1.003
"eta_inducing_raw[7, 0]",-0.272,0.921,-1.928,1.544,0.017,0.026,3022.826,1130.466,1.004
"eta_inducing_raw[7, 1]",-0.16,1.068,-2.128,1.707,0.047,0.033,521.932,119.266,1.006
"eta_inducing_raw[8, 0]",-0.077,0.987,-2.068,1.624,0.025,0.026,1512.638,1424.239,1.003
"eta_inducing_raw[8, 1]",-0.105,1.017,-2.145,1.599,0.031,0.027,1070.457,1439.389,1.006
"eta_inducing_raw[9, 0]",0.096,0.948,-1.707,1.803,0.027,0.022,1265.02,1349.706,1.005
"eta_inducing_raw[9, 1]",-0.141,0.971,-1.946,1.636,0.016,0.026,3757.562,1510.566,1.004
"eta_inducing_raw[10, 0]",0.224,0.962,-1.546,2.01,0.02,0.023,2325.519,1497.245,1.005
"eta_inducing_raw[10, 1]",-0.137,0.973,-1.844,1.773,0.026,0.021,1460.861,1588.405,1.002
"eta_inducing_raw[11, 0]",0.286,0.982,-1.433,2.062,0.045,0.026,442.467,385.743,1.012
"eta_inducing_raw[11, 1]",-0.176,0.969,-2.032,1.681,0.014,0.027,4413.081,1359.64,1.006
"eta_inducing_raw[12, 0]",0.4,0.9,-1.357,2.055,0.015,0.024,3463.423,1429.432,1.015
"eta_inducing_raw[12, 1]",-0.219,0.937,-2.041,1.462,0.02,0.023,2341.569,1519.529,1.003
"eta_inducing_raw[13, 0]",0.506,0.941,-1.228,2.324,0.017,0.023,2999.926,1398.433,1.005
