variable,beta_mean,beta_std,beta_ci_low,beta_ci_high,beta_orig_mean,beta_orig_std,beta_orig_ci_low,beta_orig_ci_high,lag_days_mean,lag_days_std,lag_days_ci_low,lag_days_ci_high,waic,loo,n_eff_beta,rhat_beta,n_eff_lag,rhat_lag,n_weight_obs,n_workout_obs
strength_training,-0.15310451053,0.9102396641258961,-1.89523125,1.6367764999999985,-2.872736316697017,17.07904313844617,-35.56067434961208,30.711226453024018,3.07159282738,3.207332758439449,0.0392492775,11.529192499999995,,,,,,,147,136
walking,-0.22951149228999998,0.9288566455454603,-2.0865384999999996,1.5339802499999953,-2.6583095067190357,10.758452339775209,-24.167265330996013,17.767277102367146,2.9780966411655,3.173680729765437,0.075231045,11.250494999999994,,,,,,,147,83
cycling,-0.27382360304,0.7858879882211216,-1.8139985,1.261376999999999,-1.770878629703664,5.082513809002392,-11.731534982012636,8.157607848631706,2.9933555983750004,2.9438243162727034,0.07434193500000001,11.118892499999978,,,,,,,147,52
